income,gini
1.1462926,.04
1.1635045,.04
1.1974745,.04
.79270166,.05
.82174343,.05
.83719945,.05
.84826392,.05
.85707402,.05
.86449409,.05
.87096494,.05
.87674367,.05
.88199413,.05
.88682735,.05
.89132243,.05
.89553803,.05
.89951843,.05
.9032985,.05
.90690565,.05
.91036242,.05
.91368717,.05
.91689533,.05
.9199999,.05
.92301172,.05
.92594045,.05
.92879432,.05
.93158054,.05
.93430549,.05
.93697476,.05
.93959337,.05
.94216591,.05
.94469643,.05
.94718862,.05
.94964582,.05
.95207113,.05
.95446748,.05
.95683742,.05
.95918345,.05
.9615078,.05
.96381271,.05
.96610016,.05
.96837199,.05
.97063005,.05
.97287619,.05
.97511196,.05
.97733897,.05
.97955883,.05
.98177296,.05
.98398292,.05
.98619008,.05
.98839587,.05
.99060172,.05
.992809,.05
.99501914,.05
.99723351,.05
.99945349,.05
1.0016805,.05
1.003916,.05
1.0061615,.05
1.0084184,.05
1.0106883,.05
1.0129728,.05
1.0152736,.05
1.0175923,.05
1.0199308,.05
1.0222911,.05
1.0246749,.05
1.0270845,.05
1.0295221,.05
1.0319901,.05
1.0344908,.05
1.0370272,.05
1.0396022,.05
1.0422188,.05
1.0448805,.05
1.0475912,.05
1.0503547,.05
1.0531759,.05
1.0560594,.05
1.0590109,.05
1.0620364,.05
1.065143,.05
1.0683382,.05
1.0716308,.05
1.0750313,.05
1.0785506,.05
1.0822024,.05
1.0860022,.05
1.0899686,.05
1.0941231,.05
1.0984924,.05
1.1031085,.05
1.1080115,.05
1.1132519,.05
1.1188947,.05
1.1250261,.05
1.1317635,.05
1.1392726,.05
1.1478001,.05
1.1577371,.05
1.1697614,.05
1.1852211,.05
1.2075138,.05
1.2517526,.05
.75594717,.06
.78931183,.06
.80716562,.06
.8199873,.06
.83022052,.06
.83885556,.06
.84639817,.06
.85314345,.06
.85927981,.06
.86493504,.06
.87020028,.06
.87514281,.06
.87981397,.06
.88425374,.06
.88849407,.06
.89256066,.06
.8964749,.06
.90025461,.06
.90391469,.06
.90746796,.06
.91092533,.06
.91429645,.06
.91758966,.06
.92081237,.06
.92397106,.06
.92707157,.06
.93011916,.06
.93311858,.06
.9360742,.06
.93898982,.06
.9418692,.06
.94471544,.06
.94753188,.06
.9503212,.06
.95308614,.06
.95582926,.06
.95855284,.06
.96125919,.06
.96395046,.06
.96662861,.06
.96929568,.06
.97195351,.06
.97460407,.06
.97724897,.06
.97988999,.06
.98252892,.06
.98516744,.06
.98780715,.06
.99044979,.06
.99309695,.06
.99575043,.06
.99841177,.06
1.0010828,.06
1.0037652,.06
1.0064607,.06
1.0091711,.06
1.0118985,.06
1.0146446,.06
1.0174116,.06
1.0202013,.06
1.0230162,.06
1.0258585,.06
1.0287306,.06
1.0316352,.06
1.0345746,.06
1.0375522,.06
1.0405711,.06
1.0436343,.06
1.0467455,.06
1.0499089,.06
1.0531282,.06
1.0564085,.06
1.0597546,.06
1.0631721,.06
1.0666671,.06
1.0702465,.06
1.0739177,.06
1.0776895,.06
1.0815712,.06
1.0855739,.06
1.0897099,.06
1.0939934,.06
1.0984411,.06
1.1030723,.06
1.1079098,.06
1.1129807,.06
1.118318,.06
1.1239612,.06
1.1299604,.06
1.1363784,.06
1.143296,.06
1.1508204,.06
1.1590978,.06
1.1683352,.06
1.1788403,.06
1.1911013,.06
1.205966,.06
1.2251225,.06
1.2528341,.06
1.3081294,.06
.72063971,.07
.75789499,.07
.7779398,.07
.79238069,.07
.80393344,.07
.81370056,.07
.8222456,.07
.8298983,.07
.83686882,.07
.84330022,.07
.84929442,.07
.85492682,.07
.86025476,.07
.86532325,.07
.87016791,.07
.87481785,.07
.8792969,.07
.88362503,.07
.88781911,.07
.89189345,.07
.89586049,.07
.89973092,.07
.90351427,.07
.90721869,.07
.91085172,.07
.91441983,.07
.91792899,.07
.92138463,.07
.92479146,.07
.92815411,.07
.93147647,.07
.93476254,.07
.93801558,.07
.94123906,.07
.94443589,.07
.94760895,.07
.95076102,.07
.95389456,.07
.95701206,.07
.96011585,.07
.96320826,.07
.96629143,.07
.96936738,.07
.97243828,.07
.97550607,.07
.97857279,.07
.98164034,.07
.98471075,.07
.98778588,.07
.99086773,.07
.99395823,.07
.99705929,.07
1.000173,.07
1.0033014,.07
1.0064464,.07
1.0096104,.07
1.0127956,.07
1.016004,.07
1.0192382,.07
1.0225008,.07
1.0257939,.07
1.0291209,.07
1.0324843,.07
1.0358872,.07
1.0393329,.07
1.0428247,.07
1.0463666,.07
1.0499624,.07
1.0536164,.07
1.0573332,.07
1.0611181,.07
1.0649763,.07
1.0689142,.07
1.0729382,.07
1.0770557,.07
1.081275,.07
1.0856049,.07
1.0900559,.07
1.0946397,.07
1.0993688,.07
1.1042587,.07
1.1093264,.07
1.1145917,.07
1.120078,.07
1.1258128,.07
1.1318288,.07
1.1381655,.07
1.1448714,.07
1.1520063,.07
1.1596462,.07
1.167889,.07
1.1768644,.07
1.1867492,.07
1.1977943,.07
1.210373,.07
1.2250779,.07
1.2429392,.07
1.266012,.07
1.2994955,.07
1.3666761,.07
.68673044,.08
.72746867,.08
.74950737,.08
.7654354,.08
.7782079,.08
.78902674,.08
.79850727,.08
.80700964,.08
.81476396,.08
.82192683,.08
.82860976,.08
.83489537,.08
.84084684,.08
.84651333,.08
.85193402,.08
.8571409,.08
.86216021,.08
.86701387,.08
.87172043,.08
.87629569,.08
.88075334,.08
.88510513,.08
.88936162,.08
.89353186,.08
.89762402,.08
.90164536,.08
.90560246,.08
.90950125,.08
.91334713,.08
.91714507,.08
.92089951,.08
.92461473,.08
.92829454,.08
.93194264,.08
.93556237,.08
.93915695,.08
.94272941,.08
.94628263,.08
.94981921,.08
.95334202,.08
.95685345,.08
.960356,.08
.96385193,.08
.96734375,.08
.97083366,.08
.97432381,.08
.97781658,.08
.98131412,.08
.98481852,.08
.98833221,.08
.99185735,.08
.99539614,.08
.9989509,.08
1.002524,.08
1.0061178,.08
1.0097349,.08
1.0133777,.08
1.0170488,.08
1.0207514,.08
1.0244877,.08
1.0282612,.08
1.0320749,.08
1.0359322,.08
1.0398366,.08
1.0437921,.08
1.0478024,.08
1.0518723,.08
1.056006,.08
1.0602087,.08
1.0644859,.08
1.0688435,.08
1.073288,.08
1.0778265,.08
1.0824667,.08
1.0872175,.08
1.0920882,.08
1.0970896,.08
1.102234,.08
1.1075346,.08
1.1130069,.08
1.1186688,.08
1.1245401,.08
1.1306447,.08
1.1370097,.08
1.1436679,.08
1.1506579,.08
1.1580262,.08
1.1658301,.08
1.1741406,.08
1.1830474,.08
1.1926665,.08
1.2031516,.08
1.2147123,.08
1.2276464,.08
1.2423973,.08
1.2596693,.08
1.2806889,.08
1.3079052,.08
1.3475283,.08
1.4274663,.08
.65417206,.09
.69800907,.09
.72185409,.09
.73914266,.09
.75303882,.09
.76483178,.09
.77518278,.09
.7844789,.09
.79296792,.09
.80081832,.09
.80815053,.09
.81505364,.09
.82159579,.09
.82783002,.09
.83379883,.09
.83953661,.09
.84507185,.09
.85042828,.09
.85562599,.09
.86068207,.09
.86561131,.09
.8704266,.09
.87513924,.09
.87975913,.09
.88429517,.09
.88875526,.09
.89314657,.09
.89747548,.09
.901748,.09
.90596932,.09
.91014457,.09
.91427827,.09
.91837466,.09
.92243767,.09
.92647117,.09
.93047851,.09
.93446308,.09
.9384281,.09
.94237649,.09
.94631124,.09
.95023513,.09
.95415086,.09
.9580611,.09
.96196836,.09
.96587533,.09
.96978438,.09
.97369802,.09
.97761881,.09
.98154914,.09
.98549151,.09
.98944855,.09
.99342269,.09
.99741656,.09
1.0014328,.09
1.0054742,.09
1.0095434,.09
1.0136436,.09
1.0177777,.09
1.0219486,.09
1.0261599,.09
1.0304148,.09
1.0347172,.09
1.0390707,.09
1.0434796,.09
1.047948,.09
1.0524808,.09
1.0570829,.09
1.0617596,.09
1.0665168,.09
1.0713607,.09
1.0762982,.09
1.0813367,.09
1.0864844,.09
1.0917504,.09
1.0971447,.09
1.1026784,.09
1.1083636,.09
1.1142149,.09
1.1202474,.09
1.1264793,.09
1.1329308,.09
1.1396254,.09
1.1465907,.09
1.1538582,.09
1.1614659,.09
1.1694585,.09
1.1778905,.09
1.1868283,.09
1.1963544,.09
1.2065736,.09
1.2176208,.09
1.2296754,.09
1.242982,.09
1.257888,.09
1.2749118,.09
1.2948776,.09
1.3192219,.09
1.3508174,.09
1.3969635,.09
1.4905759,.09
.62291861,.1
.6694929,.1
.69496578,.1
.71349353,.1
.72842097,.1
.74111331,.1
.75227171,.1
.76230723,.1
.77148294,.1
.77997822,.1
.78792119,.1
.79540664,.1
.8025071,.1
.80927938,.1
.81576866,.1
.82201159,.1
.82803869,.1
.8338753,.1
.83954287,.1
.84505975,.1
.85044169,.1
.85570252,.1
.86085433,.1
.86590785,.1
.87087244,.1
.87575668,.1
.88056827,.1
.88531411,.1
.89000052,.1
.89463341,.1
.89921796,.1
.90375924,.1
.90826178,.1
.91272992,.1
.91716766,.1
.92157882,.1
.92596704,.1
.93033582,.1
.93468833,.1
.93902779,.1
.94335723,.1
.9476797,.1
.95199811,.1
.95631522,.1
.96063387,.1
.96495682,.1
.9692868,.1
.97362661,.1
.977979,.1
.98234665,.1
.98673254,.1
.99113929,.1
.99556994,.1
1.0000274,.1
1.0045148,.1
1.0090352,.1
1.013592,.1
1.0181884,.1
1.0228281,.1
1.0275147,.1
1.0322521,.1
1.0370445,.1
1.0418962,.1
1.0468119,.1
1.0517964,.1
1.0568552,.1
1.0619937,.1
1.0672181,.1
1.0725349,.1
1.0779516,.1
1.0834755,.1
1.0891155,.1
1.0948808,.1
1.1007817,.1
1.1068296,.1
1.1130372,.1
1.1194187,.1
1.12599,.1
1.1327691,.1
1.1397763,.1
1.1470354,.1
1.1545728,.1
1.16242,.1
1.1706136,.1
1.1791967,.1
1.188221,.1
1.1977488,.1
1.2078563,.1
1.2186388,.1
1.2302161,.1
1.2427442,.1
1.2564288,.1
1.2715522,.1
1.2885151,.1
1.3079152,.1
1.3307049,.1
1.3585454,.1
1.3947643,.1
1.4478322,.1
1.5560834,.1
.59292567,.11
.6418972,.11
.66882813,.11
.6884793,.11
.70434916,.11
.71786863,.11
.72977346,.11
.74049544,.11
.75031132,.11
.75940973,.11
.76792562,.11
.77595896,.11
.7835862,.11
.79086715,.11
.79784954,.11
.80457234,.11
.81106746,.11
.81736189,.11
.82347822,.11
.82943588,.11
.83525169,.11
.84094018,.11
.84651417,.11
.85198504,.11
.85736281,.11
.86265659,.11
.8678745,.11
.87302393,.11
.8781116,.11
.88314378,.11
.88812608,.11
.8930639,.11
.89796203,.11
.90282512,.11
.90765756,.11
.91246331,.11
.9172464,.11
.92201048,.11
.92675924,.11
.93149585,.11
.9362238,.11
.94094628,.11
.94566643,.11
.95038736,.11
.9551121,.11
.9598437,.11
.96458519,.11
.96933955,.11
.97410977,.11
.978899,.11
.98371017,.11
.98854649,.11
.9934113,.11
.99830776,.11
1.0032393,.11
1.0082092,.11
1.0132215,.11
1.0182797,.11
1.0233878,.11
1.0285498,.11
1.0337704,.11
1.039054,.11
1.0444055,.11
1.0498301,.11
1.0553331,.11
1.060921,.11
1.0665995,.11
1.0723759,.11
1.0782576,.11
1.0842525,.11
1.0903692,.11
1.0966178,.11
1.1030085,.11
1.1095531,.11
1.1162643,.11
1.1231568,.11
1.1302462,.11
1.1375507,.11
1.1450907,.11
1.1528894,.11
1.1609732,.11
1.1693726,.11
1.1781229,.11
1.187266,.11
1.1968505,.11
1.2069353,.11
1.2175912,.11
1.2289048,.11
1.2409843,.11
1.2539663,.11
1.268028,.11
1.2834045,.11
1.3004171,.11
1.319523,.11
1.3414054,.11
1.3671527,.11
1.3986665,.11
1.4397612,.11
1.5001667,.11
1.62407,.11
.56133783,.12
.61257833,.12
.64092731,.12
.66168612,.12
.67849427,.12
.69284326,.12
.70550108,.12
.71691906,.12
.72738671,.12
.73710167,.12
.74620515,.12
.75480223,.12
.76297295,.12
.77078021,.12
.77827412,.12
.78549564,.12
.79247844,.12
.79925078,.12
.80583662,.12
.81225628,.12
.81852758,.12
.8246659,.12
.83068466,.12
.83659595,.12
.84241045,.12
.84813762,.12
.85378623,.12
.85936403,.12
.8648783,.12
.87033546,.12
.87574172,.12
.88110262,.12
.88642347,.12
.89170915,.12
.89696431,.12
.90219331,.12
.90740037,.12
.91258949,.12
.91776448,.12
.92292899,.12
.9280867,.12
.93324101,.12
.9383955,.12
.94355327,.12
.94871795,.12
.95389265,.12
.9590807,.12
.96428543,.12
.96951014,.12
.97475821,.12
.98003298,.12
.98533803,.12
.99067676,.12
.99605298,.12
1.0014703,.12
1.0069327,.12
1.0124443,.12
1.0180091,.12
1.0236318,.12
1.0293168,.12
1.035069,.12
1.0408937,.12
1.0467962,.12
1.0527824,.12
1.0588586,.12
1.0650314,.12
1.071308,.12
1.0776962,.12
1.0842042,.12
1.0908412,.12
1.097617,.12
1.1045429,.12
1.1116303,.12
1.1188927,.12
1.1263446,.12
1.1340021,.12
1.1418835,.12
1.1500094,.12
1.1584027,.12
1.1670897,.12
1.1761007,.12
1.1854701,.12
1.1952382,.12
1.2054526,.12
1.2161685,.12
1.2274534,.12
1.2393872,.12
1.2520695,.12
1.2656231,.12
1.2802044,.12
1.2960155,.12
1.3133249,.12
1.3325007,.12
1.3540663,.12
1.3788041,.12
1.4079635,.12
1.4437284,.12
1.490489,.12
1.5594661,.12
1.7018186,.12
.53385311,.13
.58684289,.13
.61632103,.13
.63797599,.13
.65555137,.13
.67058408,.13
.68386668,.13
.69586527,.13
.70687926,.13
.71711302,.13
.726713,.13
.73578781,.13
.74442065,.13
.75267655,.13
.76060784,.13
.76825672,.13
.77565837,.13
.78284216,.13
.78983295,.13
.79665196,.13
.80331773,.13
.80984622,.13
.81625152,.13
.82254618,.13
.82874143,.13
.83484715,.13
.84087247,.13
.84682554,.13
.85271388,.13
.85854441,.13
.8643235,.13
.87005705,.13
.87575066,.13
.88140947,.13
.88703829,.13
.89264196,.13
.89822477,.13
.90379095,.13
.90934461,.13
.91488969,.13
.92042994,.13
.92596924,.13
.93151116,.13
.93705928,.13
.94261724,.13
.94818854,.13
.95377678,.13
.95938551,.13
.96501827,.13
.97067881,.13
.97637075,.13
.98209786,.13
.98786396,.13
.99367315,.13
.99952948,.13
1.0054371,.13
1.0114007,.13
1.0174247,.13
1.0235139,.13
1.0296735,.13
1.0359089,.13
1.0422258,.13
1.04863,.13
1.0551283,.13
1.0617273,.13
1.0684345,.13
1.0752578,.13
1.0822057,.13
1.0892876,.13
1.0965135,.13
1.1038944,.13
1.1114424,.13
1.1191708,.13
1.1270941,.13
1.1352285,.13
1.1435924,.13
1.1522056,.13
1.1610912,.13
1.1702746,.13
1.1797853,.13
1.1896567,.13
1.1999277,.13
1.2106429,.13
1.2218554,.13
1.2336272,.13
1.246033,.13
1.2591628,.13
1.2731276,.13
1.2880648,.13
1.3041495,.13
1.3216079,.13
1.3407415,.13
1.3619624,.13
1.3858584,.13
1.4133087,.13
1.4457181,.13
1.4855456,.13
1.5377413,.13
1.6149848,.13
1.7752868,.13
.50749946,.14
.56195951,.14
.59242254,.14
.61487299,.14
.6331374,.14
.64878947,.14
.66264182,.14
.67517304,.14
.68669063,.14
.69740474,.14
.70746595,.14
.71698624,.14
.72605121,.14
.7347281,.14
.7430706,.14
.75112253,.14
.75892007,.14
.7664935,.14
.77386862,.14
.78106749,.14
.788109,.14
.79501003,.14
.80178493,.14
.80844688,.14
.81500733,.14
.82147676,.14
.82786453,.14
.83417916,.14
.84042853,.14
.8466199,.14
.85275978,.14
.85885435,.14
.86490965,.14
.87093079,.14
.8769232,.14
.88289154,.14
.88884056,.14
.89477479,.14
.90069842,.14
.90661573,.14
.91253066,.14
.91844726,.14
.92436939,.14
.93030095,.14
.93624562,.14
.9422074,.14
.94818997,.14
.95419717,.14
.96023285,.14
.96630102,.14
.97240561,.14
.97855073,.14
.98474044,.14
.99097925,.14
.99727148,.14
1.0036218,.14
1.010035,.14
1.0165162,.14
1.0230708,.14
1.0297041,.14
1.0364221,.14
1.043231,.14
1.0501375,.14
1.0571486,.14
1.0642718,.14
1.0715153,.14
1.0788877,.14
1.0863986,.14
1.0940579,.14
1.1018772,.14
1.1098683,.14
1.1180445,.14
1.1264205,.14
1.1350124,.14
1.1438383,.14
1.1529179,.14
1.1622738,.14
1.1719309,.14
1.1819179,.14
1.1922672,.14
1.2030158,.14
1.2142067,.14
1.2258897,.14
1.2381232,.14
1.2509764,.14
1.264532,.14
1.2788901,.14
1.2941738,.14
1.3105364,.14
1.3281721,.14
1.3473332,.14
1.368355,.14
1.3916973,.14
1.4180157,.14
1.4482919,.14
1.4840958,.14
1.5281799,.14
1.5860918,.14
1.6720716,.14
1.8515027,.14
.48223761,.15
.53790694,.15
.56921822,.15
.5923683,.15
.61124671,.15
.62745619,.15
.64182526,.15
.6548425,.15
.66682214,.15
.67797905,.15
.68846726,.15
.69840145,.15
.70786935,.15
.71693987,.15
.72566801,.15
.73409885,.15
.74226952,.15
.75021118,.15
.75795031,.15
.76550949,.15
.77290839,.15
.78016412,.15
.78729182,.15
.79430479,.15
.80121499,.15
.80803329,.15
.81476927,.15
.82143176,.15
.82802898,.15
.83456844,.15
.84105688,.15
.84750086,.15
.85390633,.15
.86027914,.15
.86662447,.15
.87294757,.15
.87925321,.15
.88554609,.15
.89183086,.15
.89811176,.15
.90439314,.15
.91067916,.15
.91697407,.15
.92328173,.15
.92960644,.15
.93595213,.15
.94232279,.15
.94872272,.15
.95515585,.15
.96162653,.15
.96813893,.15
.97469759,.15
.98130691,.15
.98797148,.15
.99469632,.15
1.0014863,.15
1.0083467,.15
1.015283,.15
1.0223008,.15
1.0294064,.15
1.0366061,.15
1.0439067,.15
1.0513152,.15
1.0588397,.15
1.0664879,.15
1.0742693,.15
1.0821931,.15
1.0902694,.15
1.09851,.15
1.1069264,.15
1.1155324,.15
1.1243423,.15
1.1333723,.15
1.1426402,.15
1.1521657,.15
1.1619703,.15
1.1720791,.15
1.1825198,.15
1.1933234,.15
1.2045258,.15
1.216168,.15
1.228297,.15
1.240968,.15
1.2542453,.15
1.2682053,.15
1.2829393,.15
1.2985582,.15
1.3151976,.15
1.3330271,.15
1.352262,.15
1.3731812,.15
1.3961565,.15
1.4216976,.15
1.4505321,.15
1.48375,.15
1.5230972,.15
1.5716373,.15
1.6355556,.15
1.7307605,.15
1.9305588,.15
.45802972,.16
.51466429,.16
.54669464,.16
.57045287,.16
.58987355,.16
.60658073,.16
.62141544,.16
.63487375,.16
.64727503,.16
.65883815,.16
.66971999,.16
.6800372,.16
.68987936,.16
.69931662,.16
.70840538,.16
.71719146,.16
.72571284,.16
.73400146,.16
.74208426,.16
.74998462,.16
.75772244,.16
.76531541,.16
.77277899,.16
.78012687,.16
.78737134,.16
.79452348,.16
.80159336,.16
.80858999,.16
.81552178,.16
.82239652,.16
.82922119,.16
.83600265,.16
.84274709,.16
.84946036,.16
.85614806,.16
.8628155,.16
.86946791,.16
.87611002,.16
.88274664,.16
.88938236,.16
.89602172,.16
.90266919,.16
.90932894,.16
.91600543,.16
.92270291,.16
.92942572,.16
.93617815,.16
.94296455,.16
.94978935,.16
.95665705,.16
.96357226,.16
.97053963,.16
.97756398,.16
.98465037,.16
.99180406,.16
.99903029,.16
1.0063348,.16
1.0137236,.16
1.0212027,.16
1.0287788,.16
1.0364587,.16
1.04425,.16
1.0521604,.16
1.0601981,.16
1.0683722,.16
1.0766926,.16
1.0851692,.16
1.0938137,.16
1.1026379,.16
1.1116554,.16
1.1208805,.16
1.1303293,.16
1.1400193,.16
1.1499698,.16
1.1602025,.16
1.1707413,.16
1.1816131,.16
1.1928484,.16
1.2044815,.16
1.2165512,.16
1.2291028,.16
1.242188,.16
1.255867,.16
1.2702106,.16
1.2853029,.16
1.3012439,.16
1.3181556,.16
1.3361875,.16
1.3555261,.16
1.3764085,.16
1.399142,.16
1.4241368,.16
1.4519552,.16
1.4834008,.16
1.5196792,.16
1.5627218,.16
1.6159235,.16
1.6861483,.16
1.7910863,.16
2.0125511,.16
.43483889,.17
.4922111,.17
.52483839,.17
.54911774,.17
.56901199,.17
.58615977,.17
.60141063,.17
.61526638,.17
.62805045,.17
.63998425,.17
.651227,.17
.66189706,.17
.6720854,.17
.68186325,.17
