"1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","iso"
124.9749,123.7239,117.6216,118.1922,120.3548,117.5058,124.0031,124.5478,122.3295,114.5111,106.1275,100.3631,97.49935,87.80199,80.32063,71.69767,69.40248,65.00566,63.03355,56.46318,55.61849,56.44603,54.15035,55.80085,55.02984,53.1232,40.21559,"ITA"
102.0307,101.0186,92.83777,89.29294,85.50633,81.95466,82.06996,79.20629,75.6797,70.02928,67.09403,62.58756,57.37795,52.30428,47.46882,45.60825,45.50636,43.29868,41.22104,40.52729,38.00402,38.42191,36.99372,34.94871,32.92523,31.04583,27.14644,"JPN"
,,,,,,,,,184.7204,208.8859,222.75,279.0029,281.9004,212.3986,180.0803,171.3651,147.9115,179.9657,178.2742,149.5232,139.8294,134.3145,115.6462,114.6831,105.1655,106.4815,"KAZ"
225.9555,228.9269,277.9371,252.4939,195.6726,200.6364,217.7497,170.9304,151.5802,150.5878,136.4945,132.3245,130.6198,126.6545,119.6623,118.399,111.0907,104.7127,107.4107,100.9739,93.83869,90.5813,83.79899,81.48061,73.26578,64.76617,59.50107,"KOR"
209.1796,184.8942,185.1948,203.0691,233.5651,212.2445,183.1671,203.4103,202.4358,207.6005,222.6779,232.6542,232.4224,229.0104,156.0238,116.9807,96.53625,97.75058,101.0786,86.55406,91.05272,83.30723,66.94022,67.52927,61.75168,66.56796,62.97635,"LTU"
284.4401,245.8697,223.83,215.7962,260.1639,252.6687,248.358,221.2077,224.2256,215.4763,228.0036,197.4273,183.4691,190.4264,145.1324,118.5991,103.9305,86.90548,87.007,88.9376,106.3306,95.06823,80.63129,70.02195,78.35307,70.53948,74.15011,"LVA"
182.1692,184.2627,188.026,193.8325,167.6698,135.1658,138.8612,143.9711,141.5562,146.4346,139.8893,135.3826,132.6345,161.4795,177.4778,170.0214,157.9598,154.9042,154.225,105.2929,113.4077,105.1321,110.9854,109.6126,101.1737,104.0082,93.58932,"MDA"
74.17825,79.16263,77.40868,89.01834,92.93994,106.6986,79.6138,52.37796,85.89849,57.46494,75.35084,69.40804,67.85799,83.76069,78.36274,77.33092,78.23302,82.9922,63.63669,95.37274,62.56678,71.1766,79.29848,74.44779,63.85153,63.35621,59.99866,"MKD"
84.37975,86.29274,80.55118,79.11266,73.15112,75.00591,73.21585,67.4927,66.01057,67.05576,54.10957,50.06168,49.61428,48.2856,45.60492,43.55615,38.5185,39.59726,38.79448,33.91962,33.79779,36.65896,36.93414,35.78247,39.34626,38.10924,34.97478,"NLD"
65.2583,69.96722,58.20143,68.78302,79.43199,68.13221,75.93019,60.92494,68.30964,61.3382,55.968,48.45034,51.92379,49.47811,53.47917,43.90392,42.54229,33.91823,28.89268,36.81376,28.61463,22.5494,25.79034,20.08729,20.33165,20.19486,17.28793,"NOR"
160.221,158.4363,137.7278,142.5436,131.3237,132.7214,119.7605,117.2529,102.5706,114.4716,106.422,97.97044,93.91579,99.67328,85.91953,89.24836,86.19303,64.78102,69.87137,56.95504,64.65183,68.77251,69.36637,78.52751,77.13341,70.291,62.54548,"NZL"
174.975,178.7796,164.637,189.1867,183.1185,174.0805,164.5119,144.687,152.4181,147.6263,149.5984,142.6421,137.4627,146.4564,142.607,119.8377,102.7001,110.0536,93.97537,88.24876,84.23714,77.34345,79.69431,74.54939,75.36587,76.62225,65.63761,"POL"
239.8727,220.9997,198.8929,187.0326,196.525,201.8683,201.8733,211.7875,228.7785,246.1275,239.513,236.6031,228.7598,233.2409,209.7205,193.7104,185.979,195.529,195.4655,188.3183,187.4431,160.406,140.6932,132.0999,126.0678,117.5919,112.0857,"RUS"
,,,,,145.8808,139.4295,169.6557,112.9857,114.6968,127.694,113.026,121.4318,130.3244,122.0371,110.3703,89.96856,100.6345,95.01218,90.17143,75.16924,84.70297,85.8561,82.32612,77.62147,76.4553,71.21946,"SRB"
127.19,130.1753,118.7339,153.8093,159.725,124.5362,120.2512,116.1955,116.4237,121.5251,113.1736,111.6735,113.1572,122.9854,112.6555,71.29058,65.4743,60.2032,65.09382,46.36648,54.44161,57.15549,50.63713,50.74246,47.7347,49.50362,45.24782,"SVK"
253.8399,208.5561,195.6123,179.7623,155.9323,168.4278,157.3714,139.554,134.3675,121.2587,137.205,128.9694,130.5517,145.1845,105.8716,83.83713,67.36364,68.68523,63.19395,60.681,52.37684,58.15275,62.95271,50.32937,43.87881,48.84157,38.09295,"SVN"
67.07859,64.80163,60.73975,61.15716,59.9934,65.47847,66.61325,65.53537,62.74539,59.05185,53.3717,48.72878,49.00609,51.48615,43.06026,38.50077,28.36388,33.75943,29.93894,27.08226,27.84622,26.43077,27.20928,25.05544,31.84208,21.50038,19.70359,"SWE"
,,,,,,,,,,,,,,,,,,,,,95.88764,91.44676,91.55973,81.06622,65.60021,57.69568,"TUR"
154.7396,157.0426,156.1468,154.0874,150.4455,149.5019,148.6555,148.0723,149.5175,147.8208,146.2952,147.2337,143.133,136.9679,123.0639,110.4503,106.6799,104.2385,106.9238,103.5215,102.6269,110.6351,115.9526,115.2582,111.8596,109.9382,117.3956,"USA"
