"iso3c","year","passengers","freight","departures"
"ABW",2017,223502,,2132
"ABW",2018,274280,,2276
"AFG",1973,96600,1,3700
"AFG",1974,96100,13,4300
"AFG",1975,99000,10,4700
"AFG",1976,101700,13,4500
"AFG",1977,111200,14,4900
"AFG",1978,100400,13,4800
"AFG",1979,93000,19,4900
"AFG",1980,76200,21,4200
"AFG",1981,129100,19,4200
"AFG",1982,181000,18,5400
"AFG",1983,200200,11,5700
"AFG",1984,220400,20,6200
"AFG",1985,225500,20,6400
"AFG",1986,184400,8,5800
"AFG",1987,217900,8,6000
"AFG",1988,201000,9,5900
"AFG",1989,220000,12,5200
"AFG",1990,241400,9,5300
"AFG",1991,212300,8,5300
"AFG",1992,212300,8,5300
"AFG",1993,197000,7,5100
"AFG",1994,238400,12,7000
"AFG",1995,250400,13,7300
"AFG",1996,255600,14,7500
"AFG",1997,89600,35,4600
"AFG",1998,52700,15,1900
"AFG",1999,140200,7,3400
"AFG",2000,149705,8,3409
"AFG",2010,1999127,108,21677
"AFG",2011,2279341,109,25021
"AFG",2012,1737962,117,17775
"AFG",2013,2044188,85,21696
"AFG",2014,2209428,34,25920
"AFG",2015,1929907,33,23532
"AFG",2016,1917924,29,22770
"AFG",2017,1647425,21,24207
"AFG",2018,1125367,30,10454
"AFG",2019,1066747,20,7334
"AFG",2020,449041,20,4636
"AFG",2021,293213,12,2866
"AGO",1976,155400,14,2600
"AGO",1977,282700,13,4800
"AGO",1978,308000,14,5000
"AGO",1979,546100,16,11900
"AGO",1980,635200,21,12800
"AGO",1981,801100,33,15000
"AGO",1982,890500,21,13900
"AGO",1983,952500,46,22400
"AGO",1984,689600,25,10700
"AGO",1985,894200,33,13100
"AGO",1986,727000,25,11100
"AGO",1987,746000,26,11100
"AGO",1988,750000,27,11000
"AGO",1989,509800,52,6800
"AGO",1990,451500,40,6900
"AGO",1991,456000,42,7000
"AGO",1992,440000,42,6900
"AGO",1993,333500,29,5600
"AGO",1994,519000,56,7600
"AGO",1995,552500,58,7300
"AGO",1996,585000,62,7700
"AGO",1997,555000,42,7300
"AGO",1998,552900,38,7400
"AGO",1999,293800,52,5100
"AGO",2000,235448,61,4399
"AGO",2001,193317,51,4354
"AGO",2002,189619,51,4343
"AGO",2003,198253,56,4633
"AGO",2004,222032,64,4849
"AGO",2005,239795,68,4948
"AGO",2006,262666,81,4965
"AGO",2007,277361,73,5277
"AGO",2008,283887,71,3361
"AGO",2009,274869,64,3236
"AGO",2010,1010194,48,17060
"AGO",2011,987798,51,12282
"AGO",2012,1132424,71,13072
"AGO",2013,1321872,70,14496
"AGO",2014,1409952,66,13716
"AGO",2015,1244491,46,13116
"AGO",2016,1482546,44,15482
"AGO",2017,1375523,67,13494
"AGO",2018,1516628,78,13978
"AGO",2019,1436959,68,13647
"AGO",2020,356695,29,3792
"AGO",2021,311488,31,3805
"ALB",1994,9100,,600
"ALB",1995,13000,,600
"ALB",1996,29000,,1400
"ALB",1997,55400,,1900
"ALB",1998,21200,,1100
"ALB",1999,91500,,2700
"ALB",2000,136622,0,3885
"ALB",2001,146273,0,3974
"ALB",2002,137569,0,3762
"ALB",2003,158888,0,3800
"ALB",2004,179543,0,4104
"ALB",2005,195702,0,4309
"ALB",2006,213315,0,4481
"ALB",2007,238913,0,4930
"ALB",2008,243691,0,5058
"ALB",2009,231263,0,5140
"ALB",2010,768533,0,9412
"ALB",2011,829779,0,10373
"ALB",2012,814340,0,10309
"ALB",2013,865848,0,11196
"ALB",2014,151632,,1992
"ALB",2016,26634,,306
"ALB",2017,204090,,1904
"ALB",2018,303137,0,2935
"ALB",2019,307741,0,2558
"ALB",2020,124714,,1274
"ALB",2021,193259,,1471
"ARE",1974,127500,2,4700
"ARE",1975,173000,4,5400
"ARE",1976,240100,7,6200
"ARE",1977,299800,8,6300
"ARE",1978,374500,10,7200
"ARE",1979,456500,14,8300
"ARE",1980,521500,26,9500
"ARE",1981,577800,21,10000
"ARE",1982,569800,22,8700
"ARE",1983,601800,24,9500
"ARE",1984,674200,31,10100
"ARE",1985,717500,33,10500
"ARE",1986,935200,49,12200
"ARE",1987,1093000,68,12800
"ARE",1988,1329500,96,15100
"ARE",1989,1481700,118,16000
"ARE",1990,1685900,145,18800
"ARE",1991,2041800,184,19400
"ARE",1992,2508800,267,26300
"ARE",1993,2936300,365,30100
"ARE",1994,3368700,466,34000
"ARE",1995,3550500,557,34200
"ARE",1996,4063500,651,38000
"ARE",1997,4720400,809,39000
"ARE",1998,5263700,902,41100
"ARE",1999,5840300,1130,44400
"ARE",2000,6893085,1456,48330
"ARE",2001,7675845,1631,50783
"ARE",2002,9667005,2079,54952
"ARE",2003,11609840,2773,71224
"ARE",2004,14314326,3734,87217
"ARE",2005,,4642,
"ARE",2006,,5736,
"ARE",2007,,6538,
"ARE",2008,,9289,
"ARE",2009,31761631,8960,170588
"ARE",2010,44948144,9774,240855
"ARE",2011,50342892,10435,269521
"ARE",2012,59948767,12033,311758
"ARE",2013,68151865,14082,327076
"ARE",2014,75608196,15527,352224
"ARE",2015,84343562,15963,437638
"ARE",2016,91763598,16139,463947
"ARE",2017,95306195,16616,459137
"ARE",2018,95758342,15963,455956
"ARE",2019,93995208,14766,426157
"ARE",2020,26116897,12172,185260
"ARE",2021,28422616,15301,234612
"ARG",1973,2312700,86,71100
"ARG",1974,2943500,98,79000
"ARG",1975,3299200,75,89800
"ARG",1976,3293600,96,90000
"ARG",1977,3884100,120,93600
"ARG",1978,3946700,120,96500
"ARG",1979,5023500,137,103700
"ARG",1980,5588500,195,114400
"ARG",1981,4890100,196,113800
"ARG",1982,4595900,171,103900
"ARG",1983,4399600,174,109100
"ARG",1984,5163600,180,101400
"ARG",1985,4713200,187,100500
"ARG",1986,5034700,192,102300
"ARG",1987,5405800,198,111800
"ARG",1988,5068800,194,106200
"ARG",1989,4748400,201,101600
"ARG",1990,5369100,214,114000
"ARG",1991,4545900,202,78500
"ARG",1992,5251400,207,86300
"ARG",1993,5104500,232,83300
"ARG",1994,6260700,206,99500
"ARG",1995,6641700,177,112400
"ARG",1996,7913000,177,131400
"ARG",1997,8599800,220,171600
"ARG",1998,8446500,251,144600
"ARG",1999,9191900,241,183600
"ARG",2000,8915627,297,168815
"ARG",2001,5808770,124,124493
"ARG",2002,5662905,76,113178
"ARG",2003,6036360,112,91657
"ARG",2004,6795484,124,90518
"ARG",2005,6938436,133,81298
"ARG",2006,6611915,125,74162
"ARG",2007,7036784,133,79465
"ARG",2008,6147290,132,74649
"ARG",2009,5694547,112,74546
"ARG",2010,9025035,193,92848
"ARG",2011,8590840,192,90215
"ARG",2012,9375670,180,101716
"ARG",2013,11951277,269,145136
"ARG",2014,12121913,262,134521
"ARG",2015,14245183,244,145585
"ARG",2016,15076354,254,149334
"ARG",2017,16749271,305,146631
"ARG",2018,18084553,312,161862
"ARG",2019,19461377,280,163106
"ARG",2020,3680874,81,27447
"ARG",2021,6708097,88,54218
"ARM",1996,358100,12,2200
"ARM",1997,367800,11,4300
"ARM",1998,365300,10,4500
"ARM",1999,343100,11,2900
"ARM",2000,298232,9,4406
"ARM",2001,369164,8,2804
"ARM",2002,407777,5,2997
"ARM",2003,366581,5,3842
"ARM",2004,509904,7,5657
"ARM",2005,555795,7,5939
"ARM",2006,605817,7,6177
"ARM",2007,560626,6,5975
"ARM",2008,623688,7,6681
"ARM",2009,653320,6,7632
"ARM",2010,704753,6,8761
"ARM",2011,392312,4,5561
"ARM",2012,364733,3,6043
"ARM",2013,45000,1,852
"ARM",2014,0,0,0
"ARM",2018,53259,0,814
"ARM",2019,193668,0,2133
"ARM",2020,54940,0,705
"ARM",2021,179200,1,1598
"ASM",2010,49773,0,3421
"ASM",2011,50642,0,3578
"ASM",2012,56097,0,3963
"ASM",2013,72240,0,8580
"ASM",2014,76944,0,9144
"ATG",1981,389000,,21300
"ATG",1982,376800,0,35800
"ATG",1983,385000,0,40200
"ATG",1984,420000,0,45900
"ATG",1985,500000,0,55500
"ATG",1986,600000,0,65000
"ATG",1987,582000,0,65000
"ATG",1988,700000,0,61700
"ATG",1989,740000,0,58000
"ATG",1990,755000,0,58000
"ATG",1991,870000,0,67300
"ATG",1992,913500,0,68200
"ATG",1993,955000,0,70800
"ATG",1994,1000000,0,74000
"ATG",1995,1050000,0,77700
"ATG",1996,1098000,0,77700
"ATG",1997,1250000,0,69300
"ATG",1998,1245200,0,70100
"ATG",1999,1371300,0,68200
"ATG",2000,1426114,0,62070
"ATG",2001,1369069,0,72001
"ATG",2002,1286925,0,63361
"ATG",2003,1428487,0,67163
"ATG",2004,714000,0,25700
"ATG",2005,778260,0,26985
"ATG",2006,754912,0,26175
"ATG",2007,800207,0,27746
"ATG",2008,813010,0,28356
"ATG",2009,747969,0,26371
"ATG",2010,1554309,1,39865
"ATG",2011,1424420,1,36534
"ATG",2012,1310276,1,33606
"ATG",2013,1218000,1,52572
"ATG",2014,1216152,1,46404
"ATG",2015,1039810,1,40047
"ATG",2016,1042929,1,40928
"ATG",2017,590517,0,24019
"ATG",2018,580174,0,23207
"ATG",2019,526334,0,21931
"ATG",2020,356,,64
"ATG",2021,40633,,2105
"AUS",1973,9384600,267,256500
"AUS",1974,10664700,315,18700
"AUS",1975,11055100,326,18700
"AUS",1976,10864300,354,29300
"AUS",1977,11306500,376,246600
"AUS",1978,12122300,460,259100
"AUS",1979,13022500,528,259000
"AUS",1980,13648800,516,257700
"AUS",1981,13219500,556,230800
"AUS",1982,13187900,576,222700
"AUS",1983,12601500,625,230500
"AUS",1984,13236800,734,214200
"AUS",1985,14412100,815,238600
"AUS",1986,15497300,859,266600
"AUS",1987,16880200,991,283300
"AUS",1988,18816300,1027,294400
"AUS",1989,15114300,1125,230300
"AUS",1990,17553400,1222,255900
"AUS",1991,21860100,1223,283600
"AUS",1992,23886600,1362,324600
"AUS",1993,26929300,1526,347700
"AUS",1994,26888500,1646,405600
"AUS",1995,28831400,1738,396100
"AUS",1996,30075100,1834,371200
"AUS",1997,30953500,1954,394500
"AUS",1998,30185700,1904,378200
"AUS",1999,31579700,1693,384800
"AUS",2000,32577569,1731,382514
"AUS",2001,33477398,1678,388734
"AUS",2002,39021581,1545,536867
"AUS",2003,41386432,1355,529648
"AUS",2004,41596552,1898,324939
"AUS",2005,44657324,2445,342509
"AUS",2006,46951775,2570,352909
"AUS",2007,48728837,2348,353546
"AUS",2008,51488427,2212,393363
"AUS",2009,50026967,2769,403256
"AUS",2010,60640913,2938,572906
"AUS",2011,63360310,2847,593145
"AUS",2012,66355274,2732,622917
"AUS",2013,68197955,1985,641451
"AUS",2014,68123238,1926,664970
"AUS",2015,69779346,1907,668961
"AUS",2016,72446421,1869,682937
"AUS",2017,74257326,1983,672349
"AUS",2018,75667645,2028,665384
"AUS",2019,76850597,1931,684170
"AUS",2020,23346254,1317,310837
"AUS",2021,24572955,1245,383008
"AUT",1973,830900,6,20900
"AUT",1974,840800,7,20000
"AUT",1975,912100,6,21000
"AUT",1976,1060800,8,23100
"AUT",1977,1136600,9,24000
"AUT",1978,1238900,10,25800
"AUT",1979,1301600,12,26100
"AUT",1980,1284500,12,27200
"AUT",1981,1358100,14,27800
"AUT",1982,1447600,17,36400
"AUT",1983,1498400,17,37700
"AUT",1984,1514000,20,38000
"AUT",1985,1708000,19,37800
"AUT",1986,1640400,20,37700
"AUT",1987,1879700,20,38700
"AUT",1988,1964600,23,40100
"AUT",1989,2283800,42,39900
"AUT",1990,2532100,54,42000
"AUT",1991,2605700,59,47400
"AUT",1992,3024200,101,63600
"AUT",1993,3296900,130,73000
"AUT",1994,3747900,136,87700
"AUT",1995,4265400,173,109000
"AUT",1996,4718600,192,118100
"AUT",1997,5153900,236,121300
"AUT",1998,5871500,266,127900
"AUT",1999,6056600,341,127200
"AUT",2000,6641875,408,138700
"AUT",2001,6550376,358,133561
"AUT",2002,7070344,396,135516
"AUT",2003,6902780,431,128449
"AUT",2004,7619372,502,137049
"AUT",2005,8037890,537,141968
"AUT",2006,8785116,572,149512
"AUT",2007,9140909,454,151070
"AUT",2008,9140680,421,150738
"AUT",2009,8520740,342,138942
"AUT",2010,13493793,358,176195
"AUT",2011,14088252,383,166730
"AUT",2012,14518841,322,162716
"AUT",2013,15037454,326,166251
"AUT",2014,15210489,370,162576
"AUT",2015,14718641,351,152056
"AUT",2016,14724774,388,149030
"AUT",2017,16171640,391,156761
"AUT",2018,12935505,374,130260
"AUT",2019,46476602,320,330226
"AUT",2020,13285414,75,121668
"AUT",2021,18901048,125,161093
"AZE",1992,1454900,20,
"AZE",1993,1383400,27,22200
"AZE",1994,1380000,25,22200
"AZE",1995,1156000,34,19600
"AZE",1996,1232900,28,19500
"AZE",1997,981800,33,17200
"AZE",1998,669400,92,10100
"AZE",1999,571700,58,8500
"AZE",2000,545800,47,8012
"AZE",2001,543800,66,7922
"AZE",2002,575300,76,8175
"AZE",2003,683700,67,9195
"AZE",2004,1007000,34,11090
"AZE",2005,1134300,12,12470
"AZE",2006,1253400,16,12777
"AZE",2007,1440700,12,13039
"AZE",2008,756338,12,12008
"AZE",2009,839514,7,10264
"AZE",2010,796698,8,9885
"AZE",2011,1348414,10,15082
"AZE",2012,1560084,13,16597
"AZE",2013,1651710,18,15886
"AZE",2014,1770192,385,21910
"AZE",2015,1803112,687,23781
"AZE",2016,1961639,733,24009
"AZE",2017,2331308,62,20699
"AZE",2018,2279546,44,19960
"AZE",2019,2585280,1620,28974
"AZE",2020,545265,2030,11648
"AZE",2021,1102455,3174,15844
"BDI",1976,4000,,300
"BDI",1977,4500,,300
"BDI",1978,5000,,400
"BDI",1979,5500,,400
"BDI",1980,11000,0,500
"BDI",1981,5000,,500
"BDI",1982,5500,,500
"BDI",1983,6000,,500
"BDI",1984,8800,,600
"BDI",1985,8600,,600
"BDI",1986,5500,,400
"BDI",1987,21000,0,900
"BDI",1988,11200,,900
"BDI",1989,7800,,900
"BDI",1990,8300,,900
"BDI",1991,8300,,900
"BDI",1992,8900,,900
"BDI",1993,8900,,900
"BDI",1994,8900,,900
"BDI",1995,9400,,1000
"BDI",1996,9400,,1000
"BDI",1997,12000,,1400
"BDI",1998,12000,,1400
"BEL",1973,1562900,239,40400
"BEL",1974,1606700,286,37300
"BEL",1975,1585200,281,36100
"BEL",1976,1682000,317,39900
"BEL",1977,1839400,339,42800
"BEL",1978,1976500,376,46000
"BEL",1979,2042900,395,48000
"BEL",1980,1974200,394,47800
"BEL",1981,2053000,442,43000
"BEL",1982,2000800,479,40400
"BEL",1983,1956600,489,39100
"BEL",1984,2031600,525,40400
"BEL",1985,2188400,565,43200
"BEL",1986,2233200,575,45300
"BEL",1987,2362100,536,45900
"BEL",1988,2604600,650,51200
"BEL",1989,2812100,661,59700
"BEL",1990,3132700,656,66500
"BEL",1991,3018200,486,70000
"BEL",1992,3146300,386,77100
"BEL",1993,3650600,478,109100
"BEL",1994,4192900,515,118700
"BEL",1995,5000900,595,141200
"BEL",1996,5173600,591,164700
"BEL",1997,6872100,678,182700
"BEL",1998,8748400,473,213000
"BEL",1999,9965200,535,233300
"BEL",2000,10738119,1017,225906
"BEL",2001,8489007,853,178331
"BEL",2002,2341816,655,133682
"BEL",2003,2904114,605,132779
"BEL",2004,3264582,713,154218
"BEL",2005,3340509,705,151939
"BEL",2006,3641155,740,158016
"BEL",2007,4078094,755,173818
"BEL",2008,5878585,982,179019
"BEL",2009,4858700,1427,249997
"BEL",2010,7528586,1067,127678
"BEL",2011,8638553,1241,131577
"BEL",2012,9508165,1370,132099
"BEL",2013,9521421,1561,130230
"BEL",2014,10535219,1596,132977
"BEL",2015,11473055,1480,141116
"BEL",2016,12545322,1505,147324
"BEL",2017,13676844,1574,145540
"BEL",2018,13639487,1285,140674
"BEL",2019,14279187,1353,137207
"BEL",2020,3520850,1265,57072
"BEL",2021,5404284,1827,73673
"BEN",1973,28100,8,1100
"BEN",1974,31500,11,1000
"BEN",1975,35000,12,1100
"BEN",1976,40400,13,1200
"BEN",1977,45400,13,1100
"BEN",1978,52200,15,1100
"BEN",1979,57300,17,1200
"BEN",1980,61100,18,1100
"BEN",1981,74800,21,1600
"BEN",1982,78300,21,2000
"BEN",1983,79500,19,2000
"BEN",1984,80400,17,2000
"BEN",1985,86000,18,2100
"BEN",1986,108400,16,2700
"BEN",1987,104100,16,2600
"BEN",1988,103700,16,2600
"BEN",1989,74000,18,1100
"BEN",1990,76300,18,500
"BEN",1991,66300,16,1200
"BEN",1992,66300,15,1100
"BEN",1993,68200,14,1300
"BEN",1994,69200,14,1300
"BEN",1995,74100,15,1300
"BEN",1996,75100,16,1500
"BEN",1997,85500,15,1500
"BEN",1998,90500,14,1500
"BEN",1999,83900,14,1500
"BEN",2000,77273,12,1518
"BEN",2001,46364,7,716
"BEN",2010,53013,0,1255
"BEN",2011,58314,0,1381
"BEN",2012,58314,0,1381
"BEN",2013,137640,1,1728
"BEN",2014,60264,1,648
"BEN",2015,112392,1,1209
"BEN",2016,899,0,10
"BFA",1973,28700,8,1300
"BFA",1974,32500,11,1300
"BFA",1975,36200,12,1400
"BFA",1976,41900,13,1600
"BFA",1977,47200,13,1500
"BFA",1978,54700,15,1600
"BFA",1979,59800,17,1600
"BFA",1980,72800,18,2300
"BFA",1981,75800,21,2200
"BFA",1982,78200,21,2300
"BFA",1983,93200,19,2300
"BFA",1984,93400,17,2300
"BFA",1985,100200,18,2400
"BFA",1986,158400,16,3600
"BFA",1987,126600,16,2700
"BFA",1988,126200,16,2800
"BFA",1989,131500,18,2800
"BFA",1990,136600,18,2200
"BFA",1991,126600,16,2900
"BFA",1992,126600,15,2800
"BFA",1993,128500,14,3000
"BFA",1994,129500,14,3000
"BFA",1995,137500,15,3100
"BFA",1996,138400,16,3300
"BFA",1997,96600,15,1800
"BFA",1998,101600,14,1800
"BFA",1999,147200,14,3300
"BFA",2000,143529,12,3368
"BFA",2001,100286,7,1983
"BFA",2002,53236,0,1257
"BFA",2003,54475,0,1285
"BFA",2004,61364,0,1415
"BFA",2005,66273,0,1471
"BFA",2006,73131,0,1512
"BFA",2007,77810,,1614
"BFA",2008,80543,,1413
"BFA",2009,79345,0,1433
"BFA",2010,160000,0,4235
"BFA",2011,133710,0,3983
"BFA",2012,125694,0,3856
"BFA",2013,138996,0,3780
"BFA",2014,117420,0,3672
"BFA",2015,122590,0,3875
"BFA",2016,144950,0,3861
"BFA",2017,145049,0,3863
"BFA",2018,189545,0,3988
"BFA",2019,185841,0,4105
"BFA",2020,70228,,1790
"BFA",2021,112940,0,3007
"BGD",1973,490000,1,13500
"BGD",1974,431400,3,13000
"BGD",1975,490500,5,14200
"BGD",1976,453300,9,13400
"BGD",1977,470300,17,13000
"BGD",1978,544200,15,13700
"BGD",1979,624200,19,14800
"BGD",1980,613700,20,13500
"BGD",1981,591400,20,13400
"BGD",1982,621500,20,13700
"BGD",1983,623000,21,14300
"BGD",1984,741800,53,11800
"BGD",1985,845300,69,13600
"BGD",1986,852400,71,15000
"BGD",1987,861000,83,15400
"BGD",1988,1004900,76,13100
"BGD",1989,997400,84,14600
"BGD",1990,1044100,70,13000
"BGD",1991,1020800,99,13800
"BGD",1992,1051500,83,14600
"BGD",1993,1083100,48,15600
"BGD",1994,1215900,161,13000
"BGD",1995,1261400,165,12600
"BGD",1996,1252000,136,13100
"BGD",1997,1314700,200,12800
"BGD",1998,1152500,145,11900
"BGD",1999,1215400,143,5900
"BGD",2000,1331369,194,6313
"BGD",2001,1449980,170,6486
"BGD",2002,1536102,172,6464
"BGD",2003,1587606,175,7165
"BGD",2004,1650276,180,7403
"BGD",2005,1634473,183,7399
"BGD",2006,1729451,191,7971
"BGD",2007,1242865,89,11139
"BGD",2008,1224222,84,11308
"BGD",2009,1409414,0,16399
"BGD",2010,1818901,164,19300
"BGD",2011,2022389,160,26535
"BGD",2012,2195062,152,26996
"BGD",2013,2781708,225,59064
"BGD",2014,3051915,208,65364
"BGD",2015,3997815,57,55864
"BGD",2016,3815869,54,59728
"BGD",2017,4660739,62,70503
"BGD",2018,5677396,51,53061
"BGD",2019,6260241,169,68351
"BGD",2020,2984122,118,42828
"BGD",2021,3750753,84,50991
"BGR",1973,1085000,6,19000
"BGR",1974,1130000,6,19800
"BGR",1975,1150000,6,20100
"BGR",1976,1370000,7,22000
"BGR",1977,1400000,7,22200
"BGR",1978,1500000,8,22800
"BGR",1979,1755000,8,26600
"BGR",1980,1787500,9,27000
"BGR",1981,1787000,9,27000
"BGR",1982,1675000,10,34500
"BGR",1983,1790000,10,38000
"BGR",1984,1950000,12,39100
"BGR",1985,2090000,8,37000
"BGR",1986,1965300,9,38700
"BGR",1987,2095000,10,40000
"BGR",1988,2163600,9,39800
"BGR",1989,1997700,8,35900
"BGR",1990,1907000,8,37200
"BGR",1991,645700,6,15300
"BGR",1992,814000,14,16500
"BGR",1993,915800,27,17300
"BGR",1994,789200,31,16900
"BGR",1995,862700,30,14700
"BGR",1996,718200,24,13600
"BGR",1997,721700,32,12700
"BGR",1998,827700,30,14600
"BGR",1999,734700,12,15200
"BGR",2000,535246,6,12158
"BGR",2001,233963,2,6687
"BGR",2002,62798,0,2252
"BGR",2003,310952,1,4577
"BGR",2004,476277,3,7848
"BGR",2005,653703,3,9691
"BGR",2006,808451,3,12471
"BGR",2007,855229,3,12221
"BGR",2008,1073496,2,15974
"BGR",2009,798165,2,11237
"BGR",2010,801840,2,11321
"BGR",2011,932868,2,12297
"BGR",2012,973062,2,11826
"BGR",2013,1013220,2,11736
"BGR",2014,1060147,2,11755
"BGR",2015,1063498,2,11768
"BGR",2016,1092333,2,12187
"BGR",2017,1133069,2,11748
"BGR",2018,1022645,1,11435
"BGR",2019,832828,1,10111
"BGR",2020,443067,1,6295
"BGR",2021,41126,0,464
"BHR",1973,350000,1,8800
"BHR",1974,127500,2,4700
"BHR",1975,173000,4,5400
"BHR",1976,240100,7,6200
"BHR",1977,299800,8,6300
"BHR",1978,374500,10,7200
"BHR",1979,456500,14,8300
"BHR",1980,521500,26,9500
"BHR",1981,577800,21,10000
"BHR",1982,569800,22,8700
"BHR",1983,601800,24,9500
"BHR",1984,674200,31,10100
"BHR",1985,717500,33,10500
"BHR",1986,647400,31,9600
"BHR",1987,621500,32,8800
"BHR",1988,698400,34,9400
"BHR",1989,752800,40,10000
"BHR",1990,770900,44,10900
"BHR",1991,875500,51,10000
"BHR",1992,981100,70,12900
"BHR",1993,1080000,88,14700
"BHR",1994,1150600,122,15200
"BHR",1995,1072500,133,13400
"BHR",1996,1200300,106,15400
"BHR",1997,1164600,97,14400
"BHR",1998,1207000,104,12300
"BHR",1999,1307000,209,20900
"BHR",2000,1382461,209,21303
"BHR",2001,1250076,234,20492
"BHR",2002,1255713,244,19752
"BHR",2003,1850491,341,28508
"BHR",2004,2284547,417,32488
"BHR",2009,5215512,564,69808
"BHR",2010,6028980,504,62473
"BHR",2011,5590998,418,60779
"BHR",2012,5861787,338,63712
"BHR",2013,4626648,266,52452
"BHR",2014,5171496,258,55980
"BHR",2015,5313756,240,57444
"BHR",2016,5220218,387,55592
"BHR",2017,5190484,390,54474
"BHR",2018,5877003,421,57094
"BHR",2019,6440562,311,57321
"BHR",2020,1451359,192,17591
"BHR",2021,1840268,523,29475
"BHS",1975,232000,2,15900
"BHS",1976,245000,2,16000
"BHS",1977,252000,2,16500
"BHS",1978,268000,2,17200
"BHS",1979,314000,3,29900
"BHS",1980,345000,3,32000
"BHS",1981,740000,4,8200
"BHS",1982,724000,0,9200
"BHS",1983,699000,0,9100
"BHS",1984,705900,0,8400
"BHS",1985,860500,0,18100
"BHS",1986,958200,0,18000
"BHS",1987,995000,0,18300
"BHS",1988,1066000,0,19500
"BHS",1989,1150000,0,20200
"BHS",1990,1090000,0,18900
"BHS",1991,1090000,0,18900
"BHS",1992,835000,0,16700
"BHS",1993,862000,0,17700
"BHS",1994,862000,0,17700
"BHS",1995,936900,0,19300
"BHS",1996,977500,0,20100
"BHS",1997,703700,0,9100
"BHS",1998,701000,1,9300
"BHS",1999,1719400,2,31100
"BHS",2000,1860623,2,31416
"BHS",2001,1625689,2,29395
"BHS",2002,1543274,2,26493
"BHS",2003,1601347,2,24455
"BHS",2004,900000,1,29817
"BHS",2005,1020000,1,33211
"BHS",2006,1033407,1,33723
"BHS",2007,1089636,1,34402
"BHS",2008,1088876,1,33433
"BHS",2009,979042,0,30267
"BHS",2010,967914,0,26395
"BHS",2011,1056130,0,28393
"BHS",2012,1048391,0,30640
"BHS",2013,576996,0,34188
"BHS",2014,991463,0,53366
"BHS",2015,900028,0,48535
"BHS",2016,937476,0,49095
"BHS",2017,921470,0,48017
"BHS",2018,1830395,0,54000
"BHS",2019,1856546,0,47733
"BHS",2020,1272799,,31285
"BHS",2021,1065149,,27093
"BIH",1998,49900,0,1100
"BIH",1999,60100,0,4300
"BIH",2000,69142,1,4768
"BIH",2001,64993,1,4530
"BIH",2002,65643,1,4394
"BIH",2003,72864,1,4570
"BIH",2008,56313,,1004
"BIH",2009,79977,0,1359
"BIH",2010,56485,0,1574
"BIH",2011,40182,0,1060
"BIH",2012,24874,0,750
"BIH",2013,15000,0,552
"BIH",2014,36636,0,420
"BIH",2015,7071,0,81
"BIH",2018,,0,
"BIH",2019,5375,0,108
"BIH",2020,1593,,44
"BLR",1993,804900,2,35300
"BLR",1994,804900,2,35300
"BLR",1995,804900,2,35300
"BLR",1996,843000,5,31800
"BLR",1997,230900,3,5600
"BLR",1998,225500,4,5700
"BLR",1999,212300,2,6100
"BLR",2000,210899,2,5772
"BLR",2001,221714,1,5891
"BLR",2002,204908,1,5545
"BLR",2003,234273,1,6047
"BLR",2004,274185,1,6211
"BLR",2005,281877,1,5407
"BLR",2006,307403,1,5646
"BLR",2007,344290,1,6210
"BLR",2008,351165,1,6371
"BLR",2009,333252,1,5868
"BLR",2010,652142,2,12101
"BLR",2011,737599,2,14378
"BLR",2012,943081,2,14608
"BLR",2013,1159500,2,17820
"BLR",2014,1317732,2,21168
"BLR",2015,1489035,2,22939
"BLR",2016,2057194,1,26857
"BLR",2017,2493100,2,29562
"BLR",2018,2760168,2,31676
"BLR",2019,3208254,3,35741
"BLR",2020,1227674,2,16611
"BLR",2021,1040730,2,12432
"BLZ",2010,143928,0,19855
"BLZ",2011,179471,0,31755
"BLZ",2012,448016,0,59089
"BLZ",2013,513176,1,71401
"BLZ",2014,877765,3,112760
"BLZ",2015,935604,2,120072
"BLZ",2016,990499,3,121581
"BLZ",2017,1285642,4,141319
"BLZ",2018,1297533,0,125682
"BLZ",2019,1278188,0,141329
"BLZ",2020,971426,,130793
"BLZ",2021,670362,,95609
"BOL",1973,375700,3,11500
"BOL",1974,475000,2,11400
"BOL",1975,652500,3,14600
"BOL",1976,744700,4,13800
"BOL",1977,862300,28,14800
"BOL",1978,1015600,43,16400
"BOL",1979,1225500,34,17800
"BOL",1980,1342000,38,18500
"BOL",1981,1220300,44,16700
"BOL",1982,1160100,28,15000
"BOL",1983,1299000,17,15500
"BOL",1984,1359500,38,14900
"BOL",1985,1343300,42,15400
"BOL",1986,1300700,28,17400
"BOL",1987,1232600,26,15300
"BOL",1988,1266700,8,15900
"BOL",1989,1272600,8,16100
"BOL",1990,1237600,8,15600
"BOL",1991,1200000,5,15100
"BOL",1992,1214400,7,14000
"BOL",1993,1117000,10,12600
"BOL",1994,1175200,28,15300
"BOL",1995,1223700,49,16600
"BOL",1996,1783500,47,31700
"BOL",1997,2250800,47,34700
"BOL",1998,2115500,43,32000
"BOL",1999,1872600,20,24000
"BOL",2000,1756608,15,21566
"BOL",2001,1557128,14,20007
"BOL",2002,1508700,15,20560
"BOL",2003,1770774,25,28901
"BOL",2004,1824313,24,25764
"BOL",2005,1892343,25,25644
"BOL",2006,1443165,11,21978
