"iso","country","variable","water_stress","source","country_code"
"SVK","Slovakia","SDG 6.4.2. Water Stress (%)",2.38812392,"FAO Aquastat","SVK"
"SVN","Slovenia","SDG 6.4.2. Water Stress (%)",6.7816092,"FAO Aquastat","SVN"
"SOM","Somalia","SDG 6.4.2. Water Stress (%)",24.5277406,"FAO Aquastat","SOM"
"ZAF","South Africa","SDG 6.4.2. Water Stress (%)",65.0336215,"FAO Aquastat","ZAF"
"SSD","South Sudan","SDG 6.4.2. Water Stress (%)",4.22607579,"FAO Aquastat","SSD"
"ESP","Spain","SDG 6.4.2. Water Stress (%)",43.2540392,"FAO Aquastat","ESP"
"LKA","Sri Lanka","SDG 6.4.2. Water Stress (%)",90.7854137,"FAO Aquastat","LKA"
"SDN","Sudan","SDG 6.4.2. Water Stress (%)",118.656388,"FAO Aquastat","SDN"
"SUR","Suriname","SDG 6.4.2. Water Stress (%)",3.95060937,"FAO Aquastat","SUR"
"SWE","Sweden","SDG 6.4.2. Water Stress (%)",3.58297258,"FAO Aquastat","SWE"
"CHE","Switzerland","SDG 6.4.2. Water Stress (%)",6.49885584,"FAO Aquastat","CHE"
"SYR","Syrian Arab Republic","SDG 6.4.2. Water Stress (%)",124.360139,"FAO Aquastat","SYR"
"TJK","Tajikistan","SDG 6.4.2. Water Stress (%)",69.9432643,"FAO Aquastat","TJK"
"THA","Thailand","SDG 6.4.2. Water Stress (%)",23.0139352,"FAO Aquastat","THA"
"TLS","Timor-Leste","SDG 6.4.2. Water Stress (%)",28.2682103,"FAO Aquastat","TLS"
"TGO","Togo","SDG 6.4.2. Water Stress (%)",3.39163498,"FAO Aquastat","TGO"
"TTO","Trinidad and Tobago","SDG 6.4.2. Water Stress (%)",20.3264813,"FAO Aquastat","TTO"
"TUN","Tunisia","SDG 6.4.2. Water Stress (%)",98.1133992,"FAO Aquastat","TUN"
"TUR","Türkiye","SDG 6.4.2. Water Stress (%)",45.7056971,"FAO Aquastat","NOT_FOUND"
"TKM","Turkmenistan","SDG 6.4.2. Water Stress (%)",135.213807,"FAO Aquastat","TKM"
"UGA","Uganda","SDG 6.4.2. Water Stress (%)",5.82799634,"FAO Aquastat","UGA"
"UKR","Ukraine","SDG 6.4.2. Water Stress (%)",12.2557657,"FAO Aquastat","UKR"
"ARE","United Arab Emirates","SDG 6.4.2. Water Stress (%)",1587.33333,"FAO Aquastat","ARE"
"GBR","United Kingdom of Great Britain and Northern Ireland","SDG 6.4.2. Water Stress (%)",14.3546462,"FAO Aquastat","GBR"
"TZA","United Republic of Tanzania","SDG 6.4.2. Water Stress (%)",12.9632408,"FAO Aquastat","TZA"
"USA","United States of America","SDG 6.4.2. Water Stress (%)",28.1619843,"FAO Aquastat","USA"
"URY","Uruguay","SDG 6.4.2. Water Stress (%)",9.78609626,"FAO Aquastat","URY"
"UZB","Uzbekistan","SDG 6.4.2. Water Stress (%)",168.924577,"FAO Aquastat","UZB"
"VEN","Venezuela (Bolivarian Republic of)","SDG 6.4.2. Water Stress (%)",7.54036667,"FAO Aquastat","NOT_FOUND"
"VNM","Viet Nam","SDG 6.4.2. Water Stress (%)",18.1303154,"FAO Aquastat","VNM"
"YEM","Yemen","SDG 6.4.2. Water Stress (%)",169.761905,"FAO Aquastat","YEM"
"ZMB","Zambia","SDG 6.4.2. Water Stress (%)",2.83549784,"FAO Aquastat","ZMB"
"ZWE","Zimbabwe","SDG 6.4.2. Water Stress (%)",35.4053854,"FAO Aquastat","ZWE"
