"foodgreen","glass","metal","other","paper","plastic","rubber","wood","income","waste","share","cumshare"
31.5,5.5,6.4,11.1,25.2,12.5,4.1,3.8,"HIC",649206291348,32.1,0
53.6,4.3,2.4,14.9,11.5,11.2,1,1,"UMC",768362625329,37.9,32.1
52.8,3.4,2.4,16.6,12.6,11.2,0.4,0.7,"LMC",519015811266,25.6,70
56.4,1.3,1.6,26.4,7.4,6.6,0,0.2,"LIC",88410443581,4.4,95.6
