"iso3c","year","percap_waste"
"MEX",2040,550
"MEX",2050,616
"TUR",2020,432
"TUR",2030,496
"TUR",2040,551
"TUR",2050,599
"SVK",2020,428
"SVK",2030,486
"SVK",2040,538
"SVK",2050,573
"THA",2020,427
"THA",2030,538
"THA",2040,645
"THA",2050,737
"BGR",2020,426
"BGR",2030,524
"BGR",2040,602
"BGR",2050,654
"BEL",2020,417
"BEL",2030,440
"BEL",2040,459
"BEL",2050,466
"OMN",2020,417
"OMN",2030,460
"OMN",2040,501
"OMN",2050,531
"ARG",2020,409
"ARG",2030,475
"ARG",2040,534
"ARG",2050,586
"KOR",2020,407
"KOR",2030,458
"KOR",2040,484
"KOR",2050,491
"PAN",2020,404
"PAN",2030,478
"PAN",2040,529
"PAN",2050,560
"NCL",2020,398
"NCL",2030,413
"NCL",2040,419
"NCL",2050,420
"HUN",2020,390
"HUN",2030,441
"HUN",2040,490
"HUN",2050,527
"BIH",2020,390
"BIH",2030,480
"BIH",2040,569
"BIH",2050,642
"BRA",2020,386
"BRA",2030,438
"BRA",2040,485
"BRA",2050,534
"IRQ",2020,385
"IRQ",2030,435
"IRQ",2040,480
"IRQ",2050,518
"ALB",2020,385
"ALB",2030,436
"ALB",2040,492
"ALB",2050,553
"URY",2020,384
"URY",2030,449
"URY",2040,508
"URY",2050,564
"RWA",2020,379
"RWA",2030,420
"RWA",2040,476
"RWA",2050,556
"EST",2020,377
"EST",2030,432
"EST",2040,473
"EST",2050,489
"TUV",2020,376
"TUV",2030,421
"TUV",2040,472
"TUV",2050,533
"MUS",2020,374
"MUS",2030,445
"MUS",2040,502
"MUS",2050,554
"JAM",2020,370
"JAM",2030,401
"JAM",2040,443
"JAM",2050,505
"UKR",2020,364
"UKR",2030,448
"UKR",2040,538
"UKR",2050,621
"ASM",2020,363
"ASM",2030,437
"ASM",2040,513
"ASM",2050,594
"ZAF",2020,360
"ZAF",2030,421
"ZAF",2040,481
"ZAF",2050,541
"ATG",2020,357
"ATG",2030,401
"ATG",2040,442
"ATG",2050,482
"PSE",2020,353
"PSE",2030,438
"PSE",2040,556
"PSE",2050,695
"VEN",2020,349
"VEN",2030,407
"VEN",2040,467
"VEN",2050,532
"SRB",2020,342
"SRB",2030,393
"SRB",2040,439
"SRB",2050,483
"POL",2020,342
"POL",2030,387
"POL",2040,424
"POL",2050,448
"LBN",2020,341
"LBN",2030,401
"LBN",2040,462
"LBN",2050,522
"JPN",2020,338
"JPN",2030,361
"JPN",2040,378
"JPN",2050,393
"CRI",2020,332
"CRI",2030,381
"CRI",2040,428
"CRI",2050,473
"ECU",2020,325
"ECU",2030,370
"ECU",2040,425
"ECU",2050,494
"GRD",2020,325
"GRD",2030,377
"GRD",2040,433
"GRD",2050,493
"SGP",2020,325
"SGP",2030,286
"SGP",2040,253
"SGP",2050,225
"SLB",2020,323
"SLB",2030,354
"SLB",2040,395
"SLB",2050,454
"TWN",2020,320
"TWN",2030,332
"TWN",2040,337
"TWN",2050,338
"KIR",2020,316
"KIR",2030,347
"KIR",2040,387
"KIR",2050,438
"MKD",2020,311
"MKD",2030,376
"MKD",2040,442
"MKD",2050,496
"KAZ",2020,310
"KAZ",2030,388
"KAZ",2040,430
"KAZ",2050,444
"DZA",2020,304
"DZA",2030,348
"DZA",2040,376
"DZA",2050,413
"AZE",2020,302
"AZE",2030,323
"AZE",2040,332
"AZE",2050,355
