"countrycode","consumption","consumption_relative"
"NAM",4791.0522,114.26295
"NAM",5029.7534,119.9558
"NAM",5268.7114,125.65475
"NAM",5515.9224,131.55055
"NAM",5714.3281,136.28238
"NAM",5976.1191,142.52589
"NAM",6344.0986,151.30193
"NAM",6648.2607,158.55595
"NAM",7015.2881,167.30928
"NAM",7463.3545,177.99533
"NAM",8001.3701,190.8266
"NAM",8487.4951,202.4203
"NAM",8989.1436,214.38425
"NAM",9646.6533,230.06534
"NAM",10597.571,252.74403
"NAM",11527.867,274.93085
"NAM",12847.222,306.39648
"NAM",14620.124,348.67883
"NAM",16457.092,392.48914
"NAM",19193.004,457.73856
"NAM",22943.184,547.17749
"NAM",30122.793,718.4057
"NAM",46971.816,1120.2421
