"country_code","country_name","CoCA","CoNA","CoRD","CoRD_f","CoRD_v","CoRD_ss","CoRD_asf","CoRD_lns","CoRD_of","CoCA_headcount","CoNA_headcount","CoRD_headcount","CoCA_unafford_n","CoNA_unafford_n","CoRD_unafford_n","gdp"
"OMN","Oman",0.522,1.899,2.815,0.378,0.599,0.496,0.842,0.351,0.148,,,,,,,33308.48
"PAK","Pakistan",0.768,1.946,3.408,0.923,0.524,0.41,1.019,0.34,0.193,0.2,38.4,79.7,0.4,79.9,165.7,5091.087
"PAN","Panama",1.128,3.224,4.225,0.654,1.295,0.69,1.11,0.306,0.17,2.7,14.7,21.1,0.1,0.6,0.9,30446.85
"PER","Peru",0.916,2.24,3.084,0.57,0.552,0.591,0.898,0.35,0.122,2.2,14.5,23.7,0.7,4.6,7.5,12506.53
"PHL","Philippines",1.158,2.82,3.843,0.591,0.953,0.684,1.095,0.319,0.201,7.5,54.2,71,7.9,57.1,74.6,8120.869
"POL","Poland",0.39,1.925,2.909,0.651,0.89,0.318,0.584,0.377,0.09,0,0.1,1,0,0,0.4,30064.5
"PRT","Portugal",0.412,1.835,2.513,0.687,0.62,0.271,0.583,0.275,0.078,0.1,0.7,1.1,0,0.1,0.1,33044.72
"PRY","Paraguay",0.95,3.886,3.43,0.455,0.724,0.474,0.809,0.826,0.142,0.5,24.8,20.1,0,1.7,1.4,12590.55
"PSE","West Bank and Gaza",1.124,1.761,3.342,0.695,0.564,0.649,1.127,0.18669,0.122,1,4.4,25.4,0,0.2,1.1,6401.741
"QAT","Qatar",0.602,1.173,2.375,0.478,0.493,0.344,0.679,0.311,0.071,,,,,,,91738.75
"ROU","Romania",0.489,2.186,2.921,0.697,0.497,0.358,0.945,0.351,0.073,0.9,7.9,11.9,0.2,1.6,2.3,27141.9
"RUS","Russian Federation",0.606,2.215,3.149,0.745,0.739,0.36,0.98,0.191,0.135,0,1,4,0,1.4,5.7,25926.44
"RWA","Rwanda",0.763,1.311,2.609,0.481,0.303,0.58,0.919,0.136,0.19,34.5,66.8,89,4.1,8,10.7,1975.249
"SAU","Saudi Arabia",0.883,1.752,3.441,0.739,0.738,0.457,1.031,0.303,0.173,,,,,,,47306.21
"SDN","Sudan",1.079,2.089,3.674,0.48,0.723,0.547,1.203,0.509,0.211,12.7,54.4,86.3,5.2,22.2,35.2,4598.85
"SEN","Senegal",0.745,1.858,2.19,0.422,0.677,0.401,0.377,0.124,0.19,3.2,42.3,53,0.5,6.5,8.2,3203.906
"SGP","Singapore",0.751,2.024,2.775,0.615,0.605,0.519,0.611,0.324,0.102,,,,,,,95310.33
"SLE","Sierra Leone",1.243,2.201,2.842,0.298,0.756,0.655,0.754,0.257,0.122,54.4,84.4,91.1,4.1,6.3,6.8,1633.731
"SRB","Serbia",0.601,2.669,4.07,0.872,0.92,0.572,0.998,0.612,0.096,3.2,15.2,29,0.2,1.1,2,16611.02
"STP","Sao Tome and Principe",0.896,2.569,3.288,0.241,1.046,0.477,1.015,0.392,0.117,16.3,75.7,84.4,0,0.2,0.2,3952.945
"SUR","Suriname",1.142,3.386,4.969,0.8,1.256,0.585,1.412,0.78,0.136,17.9,40.9,57.6,0.1,0.2,0.3,18283.69
"SVK","Slovak Republic",0.363,1.977,3.013,0.634,0.974,0.35,0.667,0.311,0.077,0.1,1.3,2,0,0.1,0.1,30061.55
"SVN","Slovenia",0.434,2.015,2.798,0.669,0.722,0.29,0.698,0.346,0.072,0,0,0.1,0,0,0,36507.55
"SWE","Sweden",0.8,2.434,3.086,0.773,0.766,0.47,0.644,0.347,0.085,0.2,0.3,0.5,0,0,0.1,51947.95
"SWZ","Eswatini",0.931,2.244,3.428,0.524,0.766,0.506,1.136,0.342,0.154,22.8,60.4,74.8,0.3,0.7,0.8,8408.036
"SXM","Sint Maarten (Dutch part)",2.251,3.944,4.462,0.905,0.91,1.26,0.864,0.328,0.195,,,,,,,37914.12
"SYC","Seychelles",0.634,2.169,4.01,0.476,1.094,0.381,1.088,0.875,0.095,0.1,2.5,8.8,0,0,0,28116.71
"TCA","Turks and Caicos Islands",1.128,2.453,2.809,0.556,0.663,0.532,0.645,0.296,0.117,,,,,,,27060.59
"TCD","Chad",0.709,1.761,2.831,0.39,0.703,0.497,0.882,0.187,0.172,13.9,65,84.9,2.1,9.8,12.8,1587.032
"THA","Thailand",1.047,2.883,3.971,0.786,0.746,0.896,0.942,0.488,0.114,0,5.6,17.5,0,3.9,12.1,17422.95
"TJK","Tajikistan",0.912,2.345,3.027,0.628,0.425,0.552,0.823,0.439,0.16,1.7,26.5,42.9,0.2,2.3,3.8,3252.933
"TTO","Trinidad and Tobago",1.009,3.135,3.928,0.979,0.763,0.612,1.047,0.361,0.167,0.2,6.1,10.7,0,0.1,0.1,27277.88
"TUN","Tunisia",0.604,1.88,3.476,1.127,0.527,0.318,0.841,0.482,0.181,0,3.2,21.8,0,0.4,2.5,11234.5
"TUR","Türkiye",0.709,2.286,2.873,0.85,0.448,0.36,0.817,0.271,0.127,0,3.4,6.9,0,2.8,5.6,27913.82
"TWN","Taiwan, China",1.459,2.996,3.99,0.75,0.863,0.857,0.911,0.475,0.134,0,0.2,0.2,0,0.1,0.1,"NA"
"TZA","Tanzania",0.994,1.944,2.598,0.518,0.504,0.557,0.657,0.208,0.155,43.9,79.7,88.7,24,43.6,48.5,2530.603
"UGA","Uganda",0.648,1.8,2.749,0.494,0.528,0.495,0.853,0.196,0.184,14.2,69.3,84.8,5.9,28.5,34.9,2074.652
"URY","Uruguay",0.694,2.129,3.073,0.537,0.989,0.378,0.615,0.487,0.068,0,0.8,2.7,0,0,0.1,23009.87
"USA","United States",0.905,2.215,3.225,0.61,1.053,0.661,0.557,0.285,0.059,1.2,1.5,2,4.1,4.9,6.5,59914.78
"VCT","St. Vincent and the Grenadines",1.322,3.054,4.131,0.427,1.269,0.822,0.78,0.605,0.229,,,,,,,13102.13
"VGB","British Virgin Islands",1.563,3.059,3.235,0.425,0.785,0.808,0.828,0.237,0.152,,,,,,,"NA"
"VNM","Vietnam",0.975,2.514,3.586,0.556,0.771,0.582,1.183,0.305,0.189,1.3,15.9,32.4,1.2,15.1,30.7,8996.378
"WLD","World",0.834,2.457,3.314,0.662,0.793,0.508,0.873,0.348,0.13,5.4,31.1,42.9,381.2,2212.2,3049.1,"NA"
"ZAF","South Africa",1.265,3.407,4.102,0.727,0.702,0.633,1.059,0.852,0.129,24,60.1,65.2,13.7,34.3,37.2,13860.27
"ZMB","Zambia",1.279,2.38,3.085,0.372,0.631,0.814,0.906,0.232,0.13,63.8,81.8,87.6,10.7,13.8,14.8,3485.022
"ZWE","Zimbabwe",0.775,2.297,3.456,0.513,0.968,0.55,0.95,0.33,0.144,15.8,70.8,84.1,2.2,10.1,12,2416.05
