"iso3c","year","rate","region_iso3c"
"MEA",2013,3.916379606,"MEA"
"NAC",2013,4.184175212,"NAC"
"SAS",2013,3.918339304,"SAS"
"SSF",2013,13.62969874,"SSF"
"WLD",2012,6.113175523,"WLD"
"EAS",2012,1.429520648,"EAS"
"ECS",2012,3.499276167,"ECS"
"LCN",2012,24.40909318,"LCN"
"MEA",2012,3.720243317,"MEA"
"NAC",2012,4.385231519,"NAC"
"SAS",2012,4.023335241,"SAS"
"SSF",2012,13.65871847,"SSF"
"WLD",2011,6.083969712,"WLD"
"EAS",2011,1.452625068,"EAS"
"ECS",2011,3.545247178,"ECS"
"LCN",2011,24.23655784,"LCN"
"MEA",2011,3.800983044,"MEA"
"NAC",2011,4.3860446,"NAC"
"SAS",2011,4.044339766,"SAS"
"SSF",2011,13.57751006,"SSF"
"WLD",2010,6.04961649,"WLD"
"EAS",2010,1.545120335,"EAS"
"ECS",2010,3.67990945,"ECS"
"LCN",2010,23.79515045,"LCN"
"MEA",2010,2.898029618,"MEA"
"NAC",2010,4.427743427,"NAC"
"SAS",2010,3.987784394,"SAS"
"SSF",2010,13.62078497,"SSF"
