"SUM of val","","sex_name"
"iso3c",,"f"
"ALB",,0.0001145308185
"ALB",,0.6951082515
"ALB",,1.784338102
"ALB",,0.002186841414
"ALB",,0.02813975263
"ALB",,0.06743600468
"ALB",,0.0198439849
"ALB",,0.03667234053
"ALB",,0
"ALB",,0
"ALB",,0.1282843421
"ALB",,0
"ALB",,0
"ALB",,0
"ALB",,0.009061636997
"ALB",,0
"ALB",,0
"ALB",,0.0001383019678
"ALB",,0
"ALB",,0.04399747926
"ALB",,2.684914418
"ALB",,0.06926394704
"ALB",,0.05480589881
"ALB",,0.07236335514
"ALB",,0.05894520096
"ALB",,1.36249092
"ALB",,0.8959403416
"ALB",,9.688452666
"ALB",,3.988502166
"ALB",,0.7951776644
"ALB",,14.37574717
"ALB",,41.52803716
"ALB",,12.18639155
"ALB",,4.569066167
"ALB",,
"ALB",,10.16346817
"ALB",,0.9879238454
"ALB",,0.3189205613
"ALB",,0.400041603
"ALB",,1.003995303
"ALB",,4.150719704
"ALB",,1.528008609
"ALB",,0.800087295
"ALB",,8.090962673
"ALB",,
"ALB",,2.07528478
"ALB",,0.5410971454
"ALB",,16.16132989
"ALB",,0.5862995696
"ALB",,0.3242518241
"ALB",,1.90786097
"ALB",,2.778942068
"ALB",,0.5938560988
"ALB",,11.01217509
"ALB",,0.2174115295
"ALB",,1.850118331
"ALB",,38.27376958
"ALB",,32.23304006
"ALB",,0.9544901189
"ALB",,3.265466373
"ALB",,0.1242165645
"ALB",,0.708408398
"ALB",,0.01803936908
"ALB",,0.898325091
"ALB",,0.4958867925
"ALB",,1.365337401
"ALB",,0.004205428078
"ALB",,0.8769575129
"ALB",,0.6114529189
"ALB",,0.9485442545
"ALB",,7.38431086
"ALB",,0.1085360102
"ALB",,0.4675028252
"ALB",,0.08096405395
"ALB",,0.4883862196
"ALB",,0.2138302628
"ALB",,0.1533351323
"ALB",,0.7866650287
"ALB",,0.2566891427
"ALB",,0.8047865754
"ALB",,0.252414404
"ALB",,7.580926219
"ALB",,2.549044253
"ALB",,0.3170704326
"ALB",,2.955264401
"ALB",,1.039842962
"ALB",,1.697279009
"ALB",,0.007213802279
"ALB",,2.529068442
"ALB",,0.1173310851
"ALB",,12.97894297
