"iso3c"
"AFG"
"AGO"
"ALB"
"AND"
"ARE"
"ARG"
"ARM"
"ASM"
"ATG"
"AUS"
"AUT"
"AZE"
"BDI"
"BEL"
"BEN"
"BFA"
"BGD"
"BGR"
"BHR"
"BHS"
"BIH"
"BLR"
"BLZ"
"BMU"
"BOL"
"BRA"
"BRB"
"BRN"
"BTN"
"BWA"
"CAF"
"CAN"
"CHE"
"CHL"
"CHN"
"CIV"
"CMR"
"COD"
"COG"
"COL"
"COM"
"CPV"
"CRI"
"CUB"
"CYP"
"CZE"
"DEU"
"DJI"
"DMA"
"DNK"
"DOM"
"DZA"
"EAS"
"ECS"
"ECU"
"EGY"
"ERI"
"ESP"
"EST"
"ETH"
"FIN"
"FJI"
"FRA"
"FSM"
"GAB"
"GBR"
"GEO"
"GHA"
"GIN"
"GMB"
"GNB"
"GNQ"
"GRC"
"GRD"
"GRL"
"GTM"
"GUM"
"GUY"
"HND"
"HRV"
"HTI"
"HUN"
"IDN"
"IND"
"IRL"
"IRN"
"IRQ"
"ISL"
"ISR"
"ITA"
"JAM"
"JOR"
"JPN"
"KAZ"
"KEN"
"KGZ"
"KHM"
"KIR"
"KNA"
"KOR"
"KWT"
"LAO"
"LBN"
"LBR"
"LBY"
"LCA"
"LCN"
"LKA"
"LSO"
"LTU"
"LUX"
"LVA"
"MAR"
"MCO"
"MDA"
"MDG"
"MDV"
"MEA"
"MEX"
"MHL"
"MKD"
"MLI"
"MLT"
"MMR"
"MNE"
"MNG"
"MNP"
"MOZ"
"MRT"
"MUS"
"MWI"
"MYS"
"NAC"
"NAM"
"NER"
"NGA"
"NIC"
"NLD"
"NOR"
"NPL"
"NRU"
"NZL"
"OMN"
"PAK"
"PAN"
"PER"
"PHL"
"PLW"
"PNG"
"POL"
"PRI"
"PRK"
"PRT"
"PRY"
"PSE"
"QAT"
"ROU"
"RUS"
"RWA"
"SAS"
"SAU"
"SDN"
"SEN"
"SGP"
"SLB"
"SLE"
"SLV"
"SMR"
"SOM"
"SRB"
"SSD"
"SSF"
"STP"
"SUR"
"SVK"
"SVN"
"SWE"
"SWZ"
"SYC"
"SYR"
"TCD"
"TGO"
"THA"
"TJK"
"TKM"
"TLS"
"TON"
"TTO"
"TUN"
"TUR"
"TUV"
"TWN"
"TZA"
"UGA"
"UKR"
"URY"
"USA"
"UZB"
"VCT"
"VEN"
"VIR"
"VNM"
"VUT"
"WLD"
"WSM"
"YEM"
"ZAF"
"ZMB"
"ZWE"
