"Iso3_code","Country","Region","Subregion","Indicator","Dimension","Category","Sex","Age","Year","unit","VALUE","Source","region_iso3c","region"
"FIN","Finland","Europe","Northern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.64238642,"UNSDC/CTS/GSH Revision/External","ECS","Europe & Central Asia"
"FJI","Fiji","Oceania","Melanesia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.231037298,"UNSDC/Interpol/NSO/External","EAS","East Asia & Pacific"
"FRA","France","Europe","Western Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.346641192,"UNSDC/Eurostat/CTS","ECS","Europe & Central Asia"
"GRC","Greece","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.7483409856,"UNSDC/Eurostat/CTS/UNODC Research","ECS","Europe & Central Asia"
"GRD","Grenada","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",12.44234307,"OAS/CTS/UNODC Research","LCN","Latin America & Caribbean"
"GTM","Guatemala","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",17.46525801,"UNSDC/NP/CTS","LCN","Latin America & Caribbean"
"GUY","Guyana","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",19.96035898,"NSO/OAS/CTS","LCN","Latin America & Caribbean"
"HKG","China, Hong Kong Special Administrative Region","Asia","Eastern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.2934511833,"GOV/SDG/CTS","EAS","East Asia & Pacific"
"HND","Honduras","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",36.326526,"RSC/Interpol/OCAVI/NSO/CTS","LCN","Latin America & Caribbean"
"HRV","Croatia","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.9743578251,"MoI/CTS/UNODC Research","ECS","Europe & Central Asia"
"HUN","Hungary","Europe","Eastern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.8281273453,"UNSDC/CTS","ECS","Europe & Central Asia"
"IND","India","Asia","Southern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.945715278,"MoI","SAS","South Asia"
"IRL","Ireland","Europe","Northern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.6885663158,"UNSDC/NP/NSO/CTS","ECS","Europe & Central Asia"
