"code","countryname","growth_nca"
"MDV","Maldives",-94.83654
"SGP","Singapore",-72.173981
"BDI","Burundi",-66.07637
"NGA","Nigeria",-60.432903
"JAM","Jamaica",-58.047298
"BLZ","Belize",-54.260563
"TZA","Tanzania",-50.719555
"UGA","Uganda",-50.473381
"MDA","Moldova",-48.256821
"ARE","United Arab Emirates",-47.905594
"NAM","Namibia",-46.951996
"LUX","Luxembourg",-44.441383
"COD","Dem. Rep. Congo",-44.30629
"LBN","Lebanon",-44.13649
"BEN","Benin",-42.377693
"BHR","Bahrain",-42.340523
"ISL","Iceland",-41.489563
"KEN","Kenya",-40.822945
"CIV","C̫te d'Ivoire",-37.705925
"MUS","Mauritius",-33.984497
"ZWE","Zimbabwe",-32.501148
"CZE","Czech Republic",-31.066416
"MDG","Madagascar",-30.991318
"MYS","Malaysia",-30.56949
"MEX","Mexico",-29.364229
"HTI","Haiti",-28.912838
"GUY","Guyana",-27.595207
"LIC","Low income",-27.501179
"HND","Honduras",-26.58506
"BWA","Botswana",-26.194019
"ROU","Romania",-26.020729
"JOR","Jordan",-24.098099
"TJK","Tajikistan",-22.018433
"BFA","Burkina Faso",-21.789303
"OMN","Oman",-21.727491
"GTM","Guatemala",-21.084684
"IRL","Ireland",-20.616533
"PER","Peru",-20.307266
"TUR","Turkey",-19.719225
"PAK","Pakistan",-18.915497
"MLT","Malta",-17.982307
"UKR","Ukraine",-17.196148
"PNG","Papua New Guinea",-17.076077
"THA","Thailand",-15.29903
"ECU","Ecuador",-14.954423
"GBR","United Kingdom",-14.462398
"SLV","El Salvador",-14.039881
"COM","Comoros",-12.779777
"CRI","Costa Rica",-10.65866
"BEL","Belgium",-10.314827
"GAB","Gabon",-9.9106236
"MKD","North Macedonia",-9.5970459
"DJI","Djibouti",-9.4055481
"PAN","Panama",-8.6800404
"PHL","Philippines",-8.5492849
"PSE","West Bank and Gaza",-8.1274433
"GMB","The Gambia",-7.8346457
"DNK","Denmark",-6.7678847
"SEN","Senegal",-6.5733237
"COL","Colombia",-6.1900229
"ZAF","South Africa",-5.2292647
"SAU","Saudi Arabia",-4.9634781
"ITA","Italy",-4.503808
"SVK","Slovak Republic",-4.2383022
"LKA","Sri Lanka",-3.6656711
"RWA","Rwanda",-2.7569954
"CHE","Switzerland",-2.7150285
"GHA","Ghana",-2.5796816
"COG","Congo",-0.23202415
"MLI","Mali",0.43378115
"SLE","Sierra Leone",0.87434804
"NLD","Netherlands",0.97343183
"HUN","Hungary",1.3719974
"FRA","France",1.7961235
"TGO","Togo",1.879739
"AUT","Austria",2.1809185
"LBR","Liberia",3.7241814
"ESP","Spain",4.4099407
"ARG","Argentina",4.9313574
"ETH","Ethiopia",4.9540668
"ZMB","Zambia",5.4812298
"PRT","Portugal",5.6894345
"SWZ","Eswatini",5.7728724
"SUR","Suriname",6.3958983
"PRY","Paraguay",6.8851533
"EGY","Egypt",8.4219465
"CMR","Cameroon",8.4608192
"GRC","Greece",9.3588381
"TCD","Chad",10.739344
"GIN","Guinea",11.434333
"GEO","Georgia",11.95644
"NER","Niger",12.199884
"LMC","Lower middle income",12.343556
"USA","United States",14.05925
"CAN","Canada",17.516872
"FIN","Finland",20.050728
"BOL","Bolivia",21.177114
"BGD","Bangladesh",21.969677
"KWT","Kuwait",22.338007
"CAF","Central African Republic",23.865437
"DOM","Dominican Republic",24.823965
"TKM","Turkmenistan",25.763308
"IRN","Iran",25.799372
"BGR","Bulgaria",26.632965
"WLD","World",26.821089
"KOR","Korea",27.20171
"SLB","Solomon Islands",27.207487
"NIC","Nicaragua",28.261843
"SWE","Sweden",29.525478
"TUN","Tunisia",30.273684
"DEU","Germany",30.653343
"BLR","Belarus",31.605251
"IDN","Indonesia",33.001854
"TTO","Trinidad and Tobago",33.075577
"EST","Estonia",33.197033
"NPL","Nepal",33.651306
"ALB","Albania",34.555309
"KGZ","Kyrgyz Republic",35.441475
"MWI","Malawi",36.318851
"MNG","Mongolia",37.789471
"CHL","Chile",39.353294
"LSO","Lesotho",40.656982
"POL","Poland",42.185886
"MRT","Mauritania",43.82653
"HIC","High income",43.836517
"UMC","Upper middle income",44.248726
"JPN","Japan",46.739902
"LAO","Lao PDR",47.331776
"LVA","Latvia",50.658661
"RUS","Russia",50.772015
"SVN","Slovenia",52.048618
"NOR","Norway",52.990303
"KHM","Cambodia",53.233742
"MAR","Morocco",66.796173
"IND","India",68.781349
"BRA","Brazil",71.443283
"ARM","Armenia",76.989212
"URY","Uruguay",80.446754
"KAZ","Kazakhstan",80.668564
"MOZ","Mozambique",82.287849
"CHN","China",82.505386
"HRV","Croatia",92.558174
"BIH","Bosnia and Herzegovina",94.553955
"VNM","Vietnam",97.258675
"AUS","Australia",104.79445
"QAT","Qatar",114.82771
"AZE","Azerbaijan",249.31342
"IRQ","Iraq",1173.5547
