"iso3c","year","povertyrate","gdppc","ghgpc","note"
"IDN",2022,3.3,12255.068,2.217072487,
"IND",2019,9.473986626,6689.3652,1.77,
"IND",2022,9.4,7065.1436,1.843910336,
"IRL",2019,0.003921385854,86650.008,6.98,
"IRL",2022,0.1,110333.28,7.157886505,
"IRN",2019,1.02470243,14903.52,9.38,
"IRN",2022,0.3,15839.881,10.16341209,
"IRQ",2019,0.02387709357,10889.803,7.39,
"IRQ",2022,0,10090.511,7.647656441,
"ISL",2019,0,56935.773,4.64,
"ISL",2022,0,55325.652,4.600288868,
"ISR",2019,0.4967662394,40626.215,6.88,
"ISR",2022,0,43410.016,6.263658524,
"ITA",2019,1.457646847,42746.297,5.36,
"ITA",2022,1,43275.324,5.007873535,
"JAM",2019,1.177245975,9777.0059,2.78,
"JAM",2022,1.2,9372.0215,2.629058123,
"JOR",2019,0.03102084994,10071.38,2.34,
"JOR",2022,0,10176.942,2.404760838,
"JPN",2019,0.7278878689,41697.41,8.47,
"JPN",2022,0,41592.52,8.226174355,
"KAZ",2019,0.01514079142,26351.805,12.71,
"KAZ",2022,0,26369.434,10.55442047,
"KEN",2019,25.183918,4459.2104,0.46,
"KEN",2022,23,4711.021,0.4754909277,
"KGZ",2019,0.6590636969,5258.3667,1.5,
"KGZ",2022,1.4,4894.8604,1.587609172,
"KIR",2019,1.797250509,2102.782,0.74,
"KIR",2022,2.1,2038.9081,0.7911986113,
"KOR",2019,0.2266651392,42758.59,11.47,
"KOR",2022,0,45353.664,11.67647648,
"LAO",2019,6.615322113,7886.6528,2.48,
"LAO",2022,6.3,7959.7915,2.992968321,
"LBN",2019,0,14493.372,3.78,
"LBR",2019,31.39360809,1469.7639,0.21,
"LBR",2022,31.6,1431.4384,0.2426347286,
"LCA",2019,4.74651432,15200.872,2.93,
"LCA",2022,2.3,13864.692,2.947606325,
"LKA",2019,0.8576917648,13079.539,1.11,
"LKA",2022,1.2,11616.817,1.026428819,
"LSO",2019,33.74756622,2656.116,0.36,
"LSO",2022,34.6,2463.6807,0.3501856923,
"LTU",2019,0.5479296446,37166.211,4.25,
"LTU",2022,0.2,39257.738,4.020596504,
"LUX",2019,0.1011874676,116518.27,15.01,
"LUX",2022,0,118963.42,12.59071255,
"LVA",2019,0.239100799,31012.135,3.93,
"LVA",2022,0.1,32556.67,3.697735786,
"MAR",2019,0.9231883287,7546.7549,1.84,
"MAR",2022,1,7396.7798,1.718193054,
"MDA",2019,0.02864513919,13026.516,3.5,
"MDA",2022,0,14491.962,3.402166843,
"MDG",2019,78.99671173,1618.5326,0.21,
"MDG",2022,81.5,1509.51,0.2201512456,
"MDV",2019,0,19510.492,3.97,
"MDV",2022,0,17747.783,4.582911968,
"MEX",2019,2.703492165,19675.441,3.64,
"MEX",2022,0.3,18773.934,3.280531406,
"MHL",2019,0.854344368,4048.0886,3.05,
"MHL",2022,0.8,3831.4502,1.106396437,
"MKD",2019,3.323778152,16773.041,4.02,
"MKD",2022,0.9,16907.254,3.255809784,
"MLT",2019,0.304681778,45396.73,3.33,
"MLT",2022,0,46697.199,3.089046001,
"MMR",2019,1.163596988,4739.7104,0.73,
"MMR",2022,2.2,4007.7925,0.7315168977,
"MNE",2019,2.55550909,21533.932,4.6,
"MNE",2022,0.4,22033.475,4.114140511,
"MNG",2019,0.4945170879,12486.077,7.54,
"MNG",2022,0.7,11822.483,7.029949188,
"MOZ",2019,63.18357468,1281.78,0.36,
"MOZ",2022,64.4,1233.3179,0.441924423,
"MRT",2019,5.150211334,5343.998,0.95,
"MRT",2022,5.5,5178.7256,0.966540277,
"MUS",2019,0.0823232159,22869.756,3.34,
"MUS",2022,0.2,21525.213,3.263567448,
"MWI",2019,69.05659485,1537.1412,0.09,
"MWI",2022,69.3,1481.0979,0.07910303771,
"MYS",2019,0.006961048115,28421.463,7.98,
"MYS",2022,0,28059.688,7.425071239,
"NAM",2019,17.46839523,9809.2188,1.58,
"NAM",2022,18.9,9027.9814,1.496913671,
