"year","variable","value"
1872,"sim.human.bottom",-0.154900008
1872,"sim.human.top",0.212720135
1872,"sim.natural.mean",0.055116969
1872,"sim.natural.bottom",-0.144279556
1872,"sim.natural.top",0.250955442
1872,"observed",0.024
1873,"sim.human.mean",0.012844308
1873,"sim.human.bottom",-0.159714273
1873,"sim.human.top",0.178137554
1873,"sim.natural.mean",0.028735082
1873,"sim.natural.bottom",-0.145103284
1873,"sim.natural.top",0.188260649
1873,"observed",0.016
1874,"sim.human.mean",0.048609605
1874,"sim.human.bottom",-0.152710998
1874,"sim.human.top",0.204779046
1874,"sim.natural.mean",0.034085323
1874,"sim.natural.bottom",-0.166578145
1874,"sim.natural.top",0.207452757
1874,"observed",-0.021
1875,"sim.human.mean",0.040253734
1875,"sim.human.bottom",-0.153072908
1875,"sim.human.top",0.251078293
1875,"sim.natural.mean",0.047420227
1875,"sim.natural.bottom",-0.113297739
1875,"sim.natural.top",0.239910603
1875,"observed",-0.006
1876,"sim.human.mean",0.059260549
1876,"sim.human.bottom",-0.121105744
1876,"sim.human.top",0.283413191
1876,"sim.natural.mean",0.028220816
1876,"sim.natural.bottom",-0.141674431
1876,"sim.natural.top",0.230603491
1876,"observed",-0.044
1877,"sim.human.mean",0.058827471
1877,"sim.human.bottom",-0.086076921
1877,"sim.human.top",0.22777516
1877,"sim.natural.mean",0.035017849
1877,"sim.natural.bottom",-0.132164017
1877,"sim.natural.top",0.207860465
1877,"observed",0.271
1878,"sim.human.mean",0.032909238
1878,"sim.human.bottom",-0.092814053
1878,"sim.human.top",0.206222892
1878,"sim.natural.mean",0.027086467
1878,"sim.natural.bottom",-0.119590324
1878,"sim.natural.top",0.169044637
1878,"observed",0.331
1879,"sim.human.mean",0.056853664
1879,"sim.human.bottom",-0.132008714
1879,"sim.human.top",0.269553276
1879,"sim.natural.mean",0.012734084
1879,"sim.natural.bottom",-0.126603071
1879,"sim.natural.top",0.179053312
1879,"observed",0.084
1880,"sim.human.mean",0.060643739
1880,"sim.human.bottom",-0.23460668
1880,"sim.human.top",0.255752415
1880,"sim.natural.mean",0.019941833
1880,"sim.natural.bottom",-0.163441761
1880,"sim.natural.top",0.202038991
1880,"observed",0.031
1881,"sim.human.mean",0.039885226
1881,"sim.human.bottom",-0.135015466
1881,"sim.human.top",0.216224145
1881,"sim.natural.mean",0.008556476
1881,"sim.natural.bottom",-0.185411078
1881,"sim.natural.top",0.218264539
1881,"observed",0.116
1882,"sim.human.mean",0.037445312
1882,"sim.human.bottom",-0.140371049
1882,"sim.human.top",0.214061354
1882,"sim.natural.mean",0.019893915
1882,"sim.natural.bottom",-0.143303718
1882,"sim.natural.top",0.219195338
1882,"observed",0.064
1883,"sim.human.mean",0.033915337
1883,"sim.human.bottom",-0.193947117
1883,"sim.human.top",0.159613885
1883,"sim.natural.mean",0.002828359
1883,"sim.natural.bottom",-0.26860031
1883,"sim.natural.top",0.221358867
1883,"observed",-0.001
1884,"sim.human.mean",-0.221545164
1884,"sim.human.bottom",-0.410746606
1884,"sim.human.top",-0.032384641
1884,"sim.natural.mean",-0.250612972
1884,"sim.natural.bottom",-0.596942753
1884,"sim.natural.top",0.049738017
1884,"observed",-0.129
1885,"sim.human.mean",-0.194200962
1885,"sim.human.bottom",-0.370457331
1885,"sim.human.top",-0.003515732
1885,"sim.natural.mean",-0.19542733
1885,"sim.natural.bottom",-0.41120871
1885,"sim.natural.top",0.016883883
1885,"observed",-0.134
1886,"sim.human.mean",-0.121510766
1886,"sim.human.bottom",-0.289763054
1886,"sim.human.top",0.070123389
1886,"sim.natural.mean",-0.116767012
1886,"sim.natural.bottom",-0.384025881
1886,"sim.natural.top",0.108065578
1886,"observed",-0.114
1887,"sim.human.mean",-0.084553449
1887,"sim.human.bottom",-0.246869613
1887,"sim.human.top",0.08650079
1887,"sim.natural.mean",-0.094327582
1887,"sim.natural.bottom",-0.245216868
1887,"sim.natural.top",0.101357259
1887,"observed",-0.169
1888,"sim.human.mean",-0.023979457
1888,"sim.human.bottom",-0.345950215
1888,"sim.human.top",0.180473529
1888,"sim.natural.mean",-0.061141191
1888,"sim.natural.bottom",-0.240635575
1888,"sim.natural.top",0.115324615
1888,"observed",-0.011
1889,"sim.human.mean",-0.010325947
1889,"sim.human.bottom",-0.254889522
