"year","temp","x5","x95","series"
929,0.23,0.05,0.49,"reconstructed"
928,0.23,0.05,0.48,"reconstructed"
927,0.22,0.04,0.47,"reconstructed"
926,0.21,0.03,0.46,"reconstructed"
925,0.2,0.03,0.44,"reconstructed"
924,0.19,0.02,0.43,"reconstructed"
923,0.18,0.01,0.42,"reconstructed"
922,0.17,0,0.41,"reconstructed"
921,0.16,-0.01,0.41,"reconstructed"
920,0.15,-0.02,0.4,"reconstructed"
919,0.15,-0.02,0.39,"reconstructed"
918,0.14,-0.03,0.38,"reconstructed"
917,0.14,-0.03,0.38,"reconstructed"
916,0.14,-0.04,0.37,"reconstructed"
915,0.14,-0.04,0.36,"reconstructed"
914,0.14,-0.04,0.36,"reconstructed"
913,0.15,-0.05,0.36,"reconstructed"
912,0.15,-0.05,0.35,"reconstructed"
911,0.15,-0.05,0.35,"reconstructed"
910,0.15,-0.06,0.35,"reconstructed"
909,0.15,-0.06,0.34,"reconstructed"
908,0.14,-0.07,0.33,"reconstructed"
907,0.13,-0.07,0.33,"reconstructed"
906,0.13,-0.08,0.32,"reconstructed"
905,0.12,-0.09,0.31,"reconstructed"
904,0.12,-0.09,0.3,"reconstructed"
903,0.11,-0.1,0.29,"reconstructed"
902,0.11,-0.1,0.29,"reconstructed"
901,0.1,-0.09,0.29,"reconstructed"
900,0.11,-0.08,0.3,"reconstructed"
899,0.11,-0.07,0.31,"reconstructed"
898,0.12,-0.06,0.32,"reconstructed"
897,0.13,-0.04,0.33,"reconstructed"
896,0.14,-0.02,0.35,"reconstructed"
895,0.16,-0.01,0.36,"reconstructed"
894,0.17,0.01,0.38,"reconstructed"
893,0.18,0.02,0.4,"reconstructed"
892,0.2,0.03,0.42,"reconstructed"
891,0.21,0.04,0.43,"reconstructed"
890,0.21,0.04,0.44,"reconstructed"
889,0.22,0.04,0.45,"reconstructed"
888,0.23,0.05,0.45,"reconstructed"
887,0.24,0.05,0.46,"reconstructed"
886,0.24,0.05,0.46,"reconstructed"
885,0.25,0.05,0.46,"reconstructed"
884,0.26,0.05,0.46,"reconstructed"
883,0.27,0.05,0.46,"reconstructed"
882,0.27,0.05,0.46,"reconstructed"
881,0.27,0.05,0.46,"reconstructed"
880,0.27,0.05,0.46,"reconstructed"
879,0.27,0.04,0.45,"reconstructed"
878,0.26,0.03,0.45,"reconstructed"
877,0.25,0.03,0.44,"reconstructed"
876,0.24,0.01,0.42,"reconstructed"
875,0.22,0,0.41,"reconstructed"
874,0.21,-0.01,0.4,"reconstructed"
873,0.19,-0.03,0.38,"reconstructed"
872,0.18,-0.04,0.37,"reconstructed"
871,0.17,-0.06,0.35,"reconstructed"
870,0.15,-0.08,0.33,"reconstructed"
869,0.14,-0.09,0.32,"reconstructed"
868,0.12,-0.11,0.31,"reconstructed"
867,0.11,-0.12,0.3,"reconstructed"
866,0.1,-0.13,0.29,"reconstructed"
865,0.08,-0.14,0.29,"reconstructed"
864,0.07,-0.14,0.29,"reconstructed"
863,0.06,-0.15,0.28,"reconstructed"
862,0.06,-0.15,0.28,"reconstructed"
861,0.05,-0.16,0.29,"reconstructed"
860,0.05,-0.16,0.29,"reconstructed"
859,0.05,-0.16,0.29,"reconstructed"
858,0.05,-0.16,0.3,"reconstructed"
857,0.05,-0.15,0.3,"reconstructed"
856,0.06,-0.15,0.31,"reconstructed"
855,0.07,-0.14,0.32,"reconstructed"
854,0.07,-0.14,0.32,"reconstructed"
853,0.09,-0.13,0.33,"reconstructed"
852,0.1,-0.12,0.34,"reconstructed"
851,0.11,-0.1,0.35,"reconstructed"
850,0.12,-0.09,0.36,"reconstructed"
849,0.13,-0.07,0.37,"reconstructed"
848,0.14,-0.05,0.38,"reconstructed"
847,0.15,-0.04,0.39,"reconstructed"
846,0.16,-0.02,0.39,"reconstructed"
845,0.17,-0.01,0.4,"reconstructed"
844,0.18,0,0.4,"reconstructed"
843,0.18,0.01,0.4,"reconstructed"
842,0.19,0.01,0.4,"reconstructed"
841,0.19,0,0.4,"reconstructed"
840,0.18,0,0.39,"reconstructed"
839,0.18,-0.01,0.39,"reconstructed"
838,0.18,-0.01,0.39,"reconstructed"
837,0.17,-0.02,0.39,"reconstructed"
836,0.17,-0.02,0.39,"reconstructed"
835,0.16,-0.02,0.39,"reconstructed"
834,0.16,-0.03,0.39,"reconstructed"
833,0.16,-0.03,0.39,"reconstructed"
832,0.15,-0.03,0.39,"reconstructed"
831,0.15,-0.03,0.39,"reconstructed"
830,0.15,-0.03,0.39,"reconstructed"
829,0.14,-0.03,0.38,"reconstructed"
828,0.14,-0.04,0.38,"reconstructed"
827,0.13,-0.04,0.37,"reconstructed"
826,0.13,-0.05,0.37,"reconstructed"
825,0.13,-0.05,0.36,"reconstructed"
824,0.13,-0.06,0.36,"reconstructed"
823,0.13,-0.06,0.36,"reconstructed"
822,0.14,-0.06,0.36,"reconstructed"
821,0.15,-0.05,0.36,"reconstructed"
820,0.16,-0.05,0.37,"reconstructed"
819,0.16,-0.05,0.38,"reconstructed"
818,0.17,-0.04,0.38,"reconstructed"
817,0.17,-0.04,0.39,"reconstructed"
816,0.18,-0.04,0.39,"reconstructed"
815,0.17,-0.04,0.39,"reconstructed"
814,0.17,-0.05,0.39,"reconstructed"
813,0.16,-0.05,0.39,"reconstructed"
812,0.15,-0.06,0.39,"reconstructed"
811,0.14,-0.06,0.38,"reconstructed"
810,0.14,-0.07,0.38,"reconstructed"
809,0.13,-0.08,0.38,"reconstructed"
808,0.12,-0.08,0.37,"reconstructed"
807,0.11,-0.09,0.36,"reconstructed"
806,0.11,-0.09,0.36,"reconstructed"
805,0.11,-0.1,0.35,"reconstructed"
804,0.11,-0.1,0.35,"reconstructed"
803,0.11,-0.1,0.34,"reconstructed"
802,0.11,-0.1,0.34,"reconstructed"
801,0.12,-0.1,0.34,"reconstructed"
800,0.13,-0.09,0.34,"reconstructed"
799,0.14,-0.09,0.33,"reconstructed"
798,0.15,-0.08,0.34,"reconstructed"
797,0.15,-0.08,0.34,"reconstructed"
796,0.16,-0.08,0.34,"reconstructed"
795,0.16,-0.08,0.34,"reconstructed"
794,0.17,-0.08,0.34,"reconstructed"
793,0.17,-0.08,0.34,"reconstructed"
792,0.16,-0.08,0.34,"reconstructed"
791,0.16,-0.08,0.34,"reconstructed"
790,0.15,-0.08,0.34,"reconstructed"
789,0.15,-0.08,0.34,"reconstructed"
788,0.14,-0.08,0.34,"reconstructed"
787,0.14,-0.08,0.34,"reconstructed"
786,0.14,-0.07,0.34,"reconstructed"
785,0.14,-0.07,0.34,"reconstructed"
784,0.14,-0.06,0.34,"reconstructed"
783,0.15,-0.05,0.34,"reconstructed"
782,0.15,-0.05,0.35,"reconstructed"
781,0.16,-0.04,0.35,"reconstructed"
780,0.16,-0.04,0.36,"reconstructed"
779,0.17,-0.04,0.36,"reconstructed"
778,0.18,-0.04,0.37,"reconstructed"
777,0.18,-0.03,0.38,"reconstructed"
776,0.19,-0.03,0.39,"reconstructed"
775,0.2,-0.02,0.4,"reconstructed"
774,0.21,-0.02,0.4,"reconstructed"
773,0.22,-0.01,0.41,"reconstructed"
772,0.22,0,0.42,"reconstructed"
771,0.24,0.01,0.43,"reconstructed"
770,0.25,0.03,0.43,"reconstructed"
769,0.26,0.04,0.44,"reconstructed"
768,0.27,0.05,0.45,"reconstructed"
767,0.28,0.06,0.46,"reconstructed"
766,0.29,0.07,0.46,"reconstructed"
765,0.29,0.08,0.46,"reconstructed"
764,0.29,0.08,0.46,"reconstructed"
763,0.29,0.08,0.45,"reconstructed"
762,0.29,0.08,0.45,"reconstructed"
761,0.28,0.07,0.44,"reconstructed"
760,0.28,0.07,0.43,"reconstructed"
759,0.27,0.06,0.43,"reconstructed"
758,0.27,0.06,0.43,"reconstructed"
757,0.26,0.05,0.43,"reconstructed"
756,0.25,0.05,0.43,"reconstructed"
755,0.24,0.04,0.43,"reconstructed"
754,0.23,0.03,0.43,"reconstructed"
753,0.22,0.03,0.43,"reconstructed"
752,0.21,0.02,0.44,"reconstructed"
751,0.21,0.02,0.44,"reconstructed"
750,0.2,0.01,0.45,"reconstructed"
749,0.2,0.01,0.45,"reconstructed"
748,0.2,0,0.45,"reconstructed"
747,0.2,0,0.45,"reconstructed"
746,0.2,-0.01,0.44,"reconstructed"
745,0.19,-0.02,0.43,"reconstructed"
744,0.19,-0.03,0.42,"reconstructed"
743,0.18,-0.04,0.4,"reconstructed"
742,0.17,-0.04,0.39,"reconstructed"
741,0.16,-0.05,0.37,"reconstructed"
740,0.16,-0.05,0.36,"reconstructed"
739,0.15,-0.06,0.35,"reconstructed"
738,0.15,-0.06,0.35,"reconstructed"
737,0.15,-0.06,0.34,"reconstructed"
736,0.15,-0.06,0.34,"reconstructed"
735,0.15,-0.05,0.35,"reconstructed"
734,0.16,-0.05,0.35,"reconstructed"
733,0.17,-0.04,0.36,"reconstructed"
732,0.18,-0.03,0.37,"reconstructed"
731,0.19,-0.02,0.38,"reconstructed"
730,0.2,-0.01,0.39,"reconstructed"
729,0.21,-0.01,0.4,"reconstructed"
728,0.21,0,0.41,"reconstructed"
727,0.21,-0.01,0.41,"reconstructed"
726,0.21,-0.01,0.41,"reconstructed"
725,0.21,-0.02,0.41,"reconstructed"
724,0.2,-0.03,0.41,"reconstructed"
723,0.19,-0.03,0.4,"reconstructed"
722,0.19,-0.04,0.4,"reconstructed"
721,0.18,-0.05,0.39,"reconstructed"
720,0.17,-0.05,0.39,"reconstructed"
719,0.17,-0.05,0.38,"reconstructed"
718,0.16,-0.05,0.38,"reconstructed"
717,0.16,-0.05,0.38,"reconstructed"
716,0.16,-0.05,0.37,"reconstructed"
715,0.16,-0.04,0.37,"reconstructed"
714,0.16,-0.03,0.38,"reconstructed"
713,0.17,-0.03,0.38,"reconstructed"
712,0.18,-0.02,0.39,"reconstructed"
711,0.19,-0.01,0.4,"reconstructed"
710,0.2,0,0.4,"reconstructed"
709,0.21,0,0.41,"reconstructed"
708,0.21,0,0.41,"reconstructed"
707,0.22,0,0.4,"reconstructed"
706,0.22,-0.01,0.4,"reconstructed"
705,0.21,-0.02,0.39,"reconstructed"
704,0.2,-0.04,0.38,"reconstructed"
703,0.19,-0.06,0.37,"reconstructed"
702,0.17,-0.07,0.35,"reconstructed"
701,0.15,-0.1,0.34,"reconstructed"
700,0.13,-0.12,0.32,"reconstructed"
699,0.11,-0.14,0.31,"reconstructed"
698,0.08,-0.16,0.3,"reconstructed"
697,0.06,-0.19,0.28,"reconstructed"
696,0.03,-0.2,0.28,"reconstructed"
695,0.01,-0.22,0.27,"reconstructed"
694,0,-0.24,0.26,"reconstructed"
693,-0.02,-0.25,0.26,"reconstructed"
692,-0.02,-0.26,0.26,"reconstructed"
691,-0.02,-0.26,0.27,"reconstructed"
690,-0.01,-0.25,0.27,"reconstructed"
689,0,-0.24,0.28,"reconstructed"
688,0.02,-0.23,0.28,"reconstructed"
687,0.04,-0.21,0.3,"reconstructed"
686,0.07,-0.2,0.31,"reconstructed"
685,0.1,-0.18,0.33,"reconstructed"
684,0.12,-0.16,0.34,"reconstructed"
683,0.15,-0.14,0.36,"reconstructed"
682,0.18,-0.12,0.38,"reconstructed"
681,0.2,-0.1,0.41,"reconstructed"
680,0.22,-0.08,0.43,"reconstructed"
679,0.24,-0.06,0.46,"reconstructed"
678,0.26,-0.04,0.48,"reconstructed"
677,0.27,-0.03,0.5,"reconstructed"
676,0.27,-0.01,0.51,"reconstructed"
675,0.28,0,0.53,"reconstructed"
674,0.28,0.01,0.54,"reconstructed"
673,0.27,0.02,0.55,"reconstructed"
672,0.26,0.02,0.56,"reconstructed"
671,0.25,0.02,0.56,"reconstructed"
670,0.23,0.02,0.55,"reconstructed"
669,0.22,0.01,0.53,"reconstructed"
668,0.2,0,0.51,"reconstructed"
667,0.19,-0.02,0.49,"reconstructed"
666,0.18,-0.03,0.47,"reconstructed"
665,0.16,-0.04,0.45,"reconstructed"
664,0.16,-0.05,0.43,"reconstructed"
663,0.15,-0.06,0.42,"reconstructed"
662,0.15,-0.06,0.4,"reconstructed"
661,0.15,-0.07,0.4,"reconstructed"
660,0.16,-0.06,0.39,"reconstructed"
659,0.16,-0.06,0.39,"reconstructed"
658,0.17,-0.05,0.39,"reconstructed"
657,0.17,-0.05,0.39,"reconstructed"
656,0.17,-0.05,0.4,"reconstructed"
655,0.17,-0.05,0.39,"reconstructed"
654,0.17,-0.06,0.39,"reconstructed"
653,0.16,-0.06,0.38,"reconstructed"
652,0.15,-0.08,0.36,"reconstructed"
651,0.13,-0.09,0.35,"reconstructed"
650,0.12,-0.11,0.33,"reconstructed"
649,0.11,-0.12,0.32,"reconstructed"
648,0.1,-0.13,0.31,"reconstructed"
647,0.09,-0.14,0.3,"reconstructed"
646,0.08,-0.14,0.3,"reconstructed"
645,0.08,-0.13,0.3,"reconstructed"
644,0.08,-0.13,0.3,"reconstructed"
643,0.08,-0.11,0.3,"reconstructed"
642,0.09,-0.1,0.31,"reconstructed"
641,0.09,-0.09,0.31,"reconstructed"
640,0.1,-0.08,0.32,"reconstructed"
639,0.1,-0.07,0.32,"reconstructed"
638,0.11,-0.06,0.33,"reconstructed"
637,0.11,-0.06,0.33,"reconstructed"
636,0.12,-0.06,0.33,"reconstructed"
635,0.12,-0.06,0.34,"reconstructed"
634,0.13,-0.06,0.34,"reconstructed"
633,0.13,-0.06,0.34,"reconstructed"
632,0.13,-0.07,0.34,"reconstructed"
631,0.13,-0.07,0.34,"reconstructed"
630,0.14,-0.07,0.34,"reconstructed"
629,0.14,-0.07,0.34,"reconstructed"
628,0.14,-0.07,0.35,"reconstructed"
627,0.14,-0.07,0.35,"reconstructed"
626,0.15,-0.06,0.36,"reconstructed"
625,0.15,-0.06,0.36,"reconstructed"
624,0.16,-0.05,0.37,"reconstructed"
623,0.17,-0.04,0.38,"reconstructed"
622,0.18,-0.04,0.38,"reconstructed"
621,0.19,-0.03,0.39,"reconstructed"
620,0.19,-0.04,0.4,"reconstructed"
619,0.2,-0.04,0.4,"reconstructed"
618,0.2,-0.04,0.41,"reconstructed"
617,0.2,-0.05,0.41,"reconstructed"
616,0.2,-0.06,0.41,"reconstructed"
615,0.19,-0.07,0.41,"reconstructed"
614,0.19,-0.07,0.42,"reconstructed"
613,0.18,-0.08,0.43,"reconstructed"
612,0.18,-0.09,0.44,"reconstructed"
611,0.17,-0.09,0.45,"reconstructed"
610,0.17,-0.08,0.46,"reconstructed"
609,0.17,-0.08,0.47,"reconstructed"
608,0.18,-0.07,0.48,"reconstructed"
607,0.18,-0.06,0.49,"reconstructed"
606,0.19,-0.04,0.5,"reconstructed"
605,0.2,-0.03,0.51,"reconstructed"
604,0.2,-0.01,0.52,"reconstructed"
603,0.21,0,0.52,"reconstructed"
602,0.21,0.01,0.52,"reconstructed"
601,0.22,0.02,0.51,"reconstructed"
600,0.22,0.03,0.51,"reconstructed"
599,0.23,0.04,0.5,"reconstructed"
598,0.23,0.05,0.49,"reconstructed"
597,0.24,0.06,0.49,"reconstructed"
596,0.24,0.07,0.49,"reconstructed"
595,0.25,0.07,0.49,"reconstructed"
594,0.25,0.08,0.49,"reconstructed"
593,0.26,0.08,0.48,"reconstructed"
592,0.25,0.08,0.48,"reconstructed"
591,0.25,0.08,0.47,"reconstructed"
590,0.24,0.07,0.46,"reconstructed"
589,0.23,0.06,0.45,"reconstructed"
588,0.22,0.05,0.44,"reconstructed"
587,0.2,0.03,0.43,"reconstructed"
586,0.19,0.02,0.42,"reconstructed"
585,0.18,0,0.41,"reconstructed"
584,0.17,-0.01,0.39,"reconstructed"
583,0.16,-0.03,0.39,"reconstructed"
582,0.15,-0.04,0.38,"reconstructed"
581,0.14,-0.06,0.37,"reconstructed"
580,0.14,-0.07,0.37,"reconstructed"
579,0.14,-0.07,0.37,"reconstructed"
578,0.14,-0.08,0.37,"reconstructed"
577,0.14,-0.08,0.36,"reconstructed"
576,0.15,-0.08,0.37,"reconstructed"
575,0.16,-0.07,0.37,"reconstructed"
574,0.17,-0.07,0.38,"reconstructed"
573,0.17,-0.06,0.39,"reconstructed"
572,0.18,-0.05,0.4,"reconstructed"
571,0.19,-0.04,0.4,"reconstructed"
570,0.19,-0.04,0.41,"reconstructed"
569,0.2,-0.04,0.41,"reconstructed"
568,0.2,-0.04,0.41,"reconstructed"
567,0.19,-0.04,0.4,"reconstructed"
566,0.19,-0.04,0.39,"reconstructed"
565,0.19,-0.05,0.39,"reconstructed"
564,0.18,-0.05,0.38,"reconstructed"
563,0.17,-0.06,0.37,"reconstructed"
562,0.17,-0.07,0.36,"reconstructed"
561,0.16,-0.07,0.36,"reconstructed"
560,0.15,-0.07,0.35,"reconstructed"
559,0.15,-0.08,0.35,"reconstructed"
558,0.14,-0.09,0.35,"reconstructed"
557,0.13,-0.1,0.34,"reconstructed"
556,0.12,-0.12,0.34,"reconstructed"
555,0.11,-0.14,0.33,"reconstructed"
554,0.09,-0.16,0.33,"reconstructed"
553,0.07,-0.18,0.32,"reconstructed"
552,0.06,-0.2,0.32,"reconstructed"
551,0.04,-0.22,0.31,"reconstructed"
550,0.03,-0.25,0.3,"reconstructed"
549,0.01,-0.27,0.29,"reconstructed"
548,0,-0.29,0.29,"reconstructed"
547,0,-0.3,0.28,"reconstructed"
546,-0.01,-0.31,0.27,"reconstructed"
545,-0.01,-0.32,0.27,"reconstructed"
544,-0.01,-0.32,0.27,"reconstructed"
543,0,-0.31,0.27,"reconstructed"
542,0.01,-0.3,0.27,"reconstructed"
541,0.02,-0.28,0.27,"reconstructed"
540,0.03,-0.26,0.27,"reconstructed"
539,0.05,-0.24,0.28,"reconstructed"
538,0.07,-0.22,0.29,"reconstructed"
537,0.08,-0.2,0.3,"reconstructed"
536,0.1,-0.18,0.31,"reconstructed"
535,0.12,-0.16,0.32,"reconstructed"
534,0.13,-0.14,0.33,"reconstructed"
533,0.15,-0.12,0.34,"reconstructed"
532,0.16,-0.11,0.35,"reconstructed"
531,0.17,-0.1,0.35,"reconstructed"
530,0.18,-0.09,0.36,"reconstructed"
529,0.18,-0.08,0.37,"reconstructed"
528,0.19,-0.07,0.38,"reconstructed"
527,0.19,-0.07,0.39,"reconstructed"
526,0.2,-0.06,0.39,"reconstructed"
525,0.2,-0.05,0.4,"reconstructed"
524,0.21,-0.05,0.41,"reconstructed"
523,0.21,-0.04,0.42,"reconstructed"
522,0.21,-0.04,0.42,"reconstructed"
521,0.21,-0.04,0.43,"reconstructed"
520,0.21,-0.04,0.43,"reconstructed"
519,0.21,-0.03,0.43,"reconstructed"
518,0.2,-0.03,0.43,"reconstructed"
517,0.2,-0.03,0.42,"reconstructed"
516,0.19,-0.04,0.41,"reconstructed"
515,0.19,-0.05,0.4,"reconstructed"
514,0.18,-0.05,0.39,"reconstructed"
513,0.17,-0.06,0.38,"reconstructed"
512,0.17,-0.07,0.36,"reconstructed"
511,0.16,-0.07,0.35,"reconstructed"
510,0.16,-0.08,0.34,"reconstructed"
509,0.16,-0.08,0.34,"reconstructed"
508,0.17,-0.08,0.34,"reconstructed"
507,0.17,-0.08,0.35,"reconstructed"
506,0.18,-0.07,0.35,"reconstructed"
505,0.19,-0.07,0.36,"reconstructed"
504,0.2,-0.06,0.37,"reconstructed"
503,0.21,-0.05,0.38,"reconstructed"
502,0.22,-0.05,0.4,"reconstructed"
501,0.23,-0.04,0.41,"reconstructed"
500,0.23,-0.04,0.42,"reconstructed"
499,0.24,-0.03,0.43,"reconstructed"
498,0.25,-0.03,0.44,"reconstructed"
497,0.25,-0.02,0.45,"reconstructed"
496,0.25,-0.02,0.45,"reconstructed"
495,0.25,-0.02,0.45,"reconstructed"
494,0.25,-0.02,0.46,"reconstructed"
493,0.25,-0.02,0.46,"reconstructed"
492,0.25,-0.03,0.46,"reconstructed"
491,0.25,-0.03,0.46,"reconstructed"
490,0.24,-0.03,0.47,"reconstructed"
489,0.24,-0.03,0.47,"reconstructed"
488,0.23,-0.03,0.47,"reconstructed"
487,0.23,-0.03,0.48,"reconstructed"
486,0.22,-0.03,0.48,"reconstructed"
485,0.21,-0.03,0.48,"reconstructed"
484,0.21,-0.03,0.49,"reconstructed"
483,0.21,-0.03,0.49,"reconstructed"
482,0.2,-0.03,0.48,"reconstructed"
481,0.19,-0.03,0.48,"reconstructed"
480,0.18,-0.03,0.47,"reconstructed"
479,0.17,-0.04,0.46,"reconstructed"
478,0.16,-0.05,0.44,"reconstructed"
477,0.15,-0.06,0.42,"reconstructed"
476,0.14,-0.08,0.41,"reconstructed"
475,0.13,-0.09,0.38,"reconstructed"
474,0.12,-0.11,0.37,"reconstructed"
473,0.11,-0.11,0.35,"reconstructed"
472,0.1,-0.12,0.35,"reconstructed"
471,0.1,-0.12,0.35,"reconstructed"
470,0.1,-0.12,0.35,"reconstructed"
469,0.1,-0.12,0.35,"reconstructed"
468,0.11,-0.11,0.36,"reconstructed"
467,0.11,-0.1,0.37,"reconstructed"
466,0.12,-0.09,0.38,"reconstructed"
465,0.13,-0.08,0.39,"reconstructed"
464,0.14,-0.08,0.4,"reconstructed"
463,0.15,-0.07,0.41,"reconstructed"
462,0.15,-0.06,0.42,"reconstructed"
461,0.17,-0.06,0.43,"reconstructed"
460,0.18,-0.05,0.44,"reconstructed"
459,0.19,-0.04,0.45,"reconstructed"
458,0.19,-0.03,0.46,"reconstructed"
457,0.2,-0.02,0.47,"reconstructed"
456,0.21,-0.02,0.48,"reconstructed"
455,0.21,-0.01,0.48,"reconstructed"
454,0.21,-0.01,0.48,"reconstructed"
453,0.21,0,0.48,"reconstructed"
452,0.21,0,0.47,"reconstructed"
451,0.2,0,0.46,"reconstructed"
450,0.2,0,0.46,"reconstructed"
449,0.2,0,0.46,"reconstructed"
448,0.21,0,0.46,"reconstructed"
447,0.21,0,0.46,"reconstructed"
446,0.22,0.01,0.46,"reconstructed"
445,0.22,0.02,0.47,"reconstructed"
444,0.23,0.02,0.48,"reconstructed"
443,0.24,0.02,0.48,"reconstructed"
442,0.24,0.02,0.48,"reconstructed"
441,0.24,0.02,0.47,"reconstructed"
440,0.24,0.02,0.47,"reconstructed"
439,0.24,0.01,0.46,"reconstructed"
438,0.24,0.02,0.46,"reconstructed"
437,0.24,0.02,0.46,"reconstructed"
436,0.23,0.02,0.45,"reconstructed"
435,0.23,0.02,0.45,"reconstructed"
434,0.23,0.02,0.45,"reconstructed"
433,0.23,0.02,0.45,"reconstructed"
432,0.22,0.02,0.45,"reconstructed"
431,0.22,0.02,0.45,"reconstructed"
430,0.21,0.01,0.45,"reconstructed"
429,0.21,0.01,0.44,"reconstructed"
428,0.2,0,0.44,"reconstructed"
427,0.19,0,0.44,"reconstructed"
426,0.19,-0.01,0.44,"reconstructed"
425,0.18,-0.01,0.44,"reconstructed"
424,0.18,-0.01,0.44,"reconstructed"
423,0.18,-0.01,0.44,"reconstructed"
422,0.18,-0.01,0.44,"reconstructed"
421,0.18,-0.01,0.44,"reconstructed"
420,0.18,-0.01,0.44,"reconstructed"
419,0.18,-0.01,0.44,"reconstructed"
418,0.19,0,0.44,"reconstructed"
417,0.19,0,0.45,"reconstructed"
416,0.2,0.01,0.45,"reconstructed"
415,0.2,0.01,0.46,"reconstructed"
414,0.21,0.02,0.46,"reconstructed"
413,0.21,0.02,0.47,"reconstructed"
412,0.22,0.02,0.47,"reconstructed"
411,0.23,0.03,0.48,"reconstructed"
410,0.24,0.03,0.48,"reconstructed"
409,0.25,0.03,0.48,"reconstructed"
408,0.26,0.03,0.48,"reconstructed"
407,0.27,0.03,0.48,"reconstructed"
406,0.27,0.02,0.47,"reconstructed"
405,0.26,0.01,0.47,"reconstructed"
404,0.25,0,0.46,"reconstructed"
403,0.24,-0.01,0.44,"reconstructed"
402,0.22,-0.03,0.43,"reconstructed"
401,0.2,-0.04,0.41,"reconstructed"
400,0.18,-0.06,0.4,"reconstructed"
399,0.16,-0.07,0.38,"reconstructed"
398,0.14,-0.09,0.37,"reconstructed"
397,0.13,-0.1,0.36,"reconstructed"
396,0.11,-0.11,0.35,"reconstructed"
395,0.1,-0.12,0.34,"reconstructed"
394,0.09,-0.13,0.34,"reconstructed"
393,0.08,-0.13,0.33,"reconstructed"
392,0.08,-0.13,0.33,"reconstructed"
391,0.08,-0.13,0.34,"reconstructed"
390,0.09,-0.12,0.35,"reconstructed"
389,0.1,-0.11,0.36,"reconstructed"
388,0.11,-0.1,0.37,"reconstructed"
387,0.12,-0.1,0.39,"reconstructed"
386,0.13,-0.09,0.41,"reconstructed"
385,0.14,-0.08,0.42,"reconstructed"
384,0.15,-0.08,0.43,"reconstructed"
383,0.16,-0.08,0.44,"reconstructed"
382,0.16,-0.08,0.44,"reconstructed"
381,0.17,-0.09,0.44,"reconstructed"
380,0.16,-0.09,0.43,"reconstructed"
379,0.16,-0.1,0.43,"reconstructed"
378,0.16,-0.11,0.42,"reconstructed"
377,0.15,-0.12,0.42,"reconstructed"
376,0.14,-0.13,0.41,"reconstructed"
375,0.13,-0.14,0.4,"reconstructed"
374,0.13,-0.15,0.39,"reconstructed"
373,0.12,-0.15,0.39,"reconstructed"
372,0.12,-0.16,0.39,"reconstructed"
371,0.11,-0.16,0.38,"reconstructed"
370,0.11,-0.16,0.38,"reconstructed"
369,0.12,-0.15,0.38,"reconstructed"
368,0.12,-0.15,0.39,"reconstructed"
367,0.12,-0.14,0.39,"reconstructed"
366,0.12,-0.14,0.39,"reconstructed"
365,0.13,-0.13,0.39,"reconstructed"
364,0.13,-0.13,0.39,"reconstructed"
363,0.13,-0.12,0.39,"reconstructed"
362,0.13,-0.12,0.39,"reconstructed"
361,0.13,-0.11,0.38,"reconstructed"
360,0.13,-0.11,0.38,"reconstructed"
359,0.13,-0.11,0.38,"reconstructed"
358,0.12,-0.11,0.38,"reconstructed"
357,0.12,-0.11,0.37,"reconstructed"
356,0.13,-0.12,0.37,"reconstructed"
355,0.13,-0.12,0.36,"reconstructed"
354,0.13,-0.12,0.36,"reconstructed"
353,0.14,-0.12,0.36,"reconstructed"
352,0.15,-0.12,0.36,"reconstructed"
351,0.15,-0.12,0.36,"reconstructed"
350,0.16,-0.12,0.36,"reconstructed"
349,0.17,-0.12,0.36,"reconstructed"
348,0.17,-0.11,0.36,"reconstructed"
347,0.17,-0.12,0.36,"reconstructed"
346,0.17,-0.12,0.36,"reconstructed"
345,0.17,-0.12,0.36,"reconstructed"
344,0.17,-0.11,0.36,"reconstructed"
343,0.16,-0.12,0.35,"reconstructed"
342,0.16,-0.12,0.35,"reconstructed"
341,0.15,-0.12,0.34,"reconstructed"
340,0.15,-0.12,0.34,"reconstructed"
339,0.14,-0.12,0.34,"reconstructed"
338,0.13,-0.12,0.34,"reconstructed"
337,0.13,-0.11,0.34,"reconstructed"
336,0.12,-0.11,0.34,"reconstructed"
335,0.12,-0.1,0.35,"reconstructed"
334,0.12,-0.09,0.35,"reconstructed"
333,0.12,-0.09,0.36,"reconstructed"
332,0.13,-0.08,0.36,"reconstructed"
331,0.13,-0.08,0.36,"reconstructed"
330,0.13,-0.08,0.37,"reconstructed"
329,0.14,-0.08,0.37,"reconstructed"
328,0.14,-0.07,0.37,"reconstructed"
327,0.14,-0.07,0.37,"reconstructed"
326,0.15,-0.06,0.38,"reconstructed"
325,0.15,-0.06,0.38,"reconstructed"
324,0.16,-0.06,0.38,"reconstructed"
323,0.16,-0.06,0.39,"reconstructed"
322,0.17,-0.05,0.39,"reconstructed"
321,0.17,-0.05,0.4,"reconstructed"
320,0.18,-0.04,0.4,"reconstructed"
319,0.18,-0.03,0.4,"reconstructed"
318,0.19,-0.02,0.41,"reconstructed"
317,0.2,-0.01,0.42,"reconstructed"
316,0.21,0.01,0.43,"reconstructed"
315,0.22,0.01,0.44,"reconstructed"
314,0.23,0.02,0.45,"reconstructed"
